Date,hashrate30var
2011/12/08,5.2727305838427E+23
2011/12/09,4.6407921708758E+23
2011/12/10,4.2463596589202E+23
2011/12/11,4.2316117698928E+23
2011/12/12,4.221484218699E+23
2011/12/13,4.2953093485766E+23
2011/12/14,4.2561461600277E+23
2011/12/15,3.7196687212357E+23
2011/12/16,3.950910776015E+23
2011/12/17,3.9438943763755E+23
2011/12/18,4.1179556072674E+23
2011/12/19,4.1866021545878E+23
2011/12/20,4.0014102547138E+23
2011/12/21,4.0518027097559E+23
2011/12/22,4.0520991646871E+23
2011/12/23,4.1918886162049E+23
2011/12/24,3.938284346617E+23
2011/12/25,4.0250903884808E+23
2011/12/26,5.599946781279E+23
2011/12/27,5.779636206503E+23
2011/12/28,5.3626451216129E+23
2011/12/29,5.2946206401071E+23
2011/12/30,5.5561186565303E+23
2011/12/31,5.1682888541862E+23
2012/01/01,4.7841550152582E+23
2012/01/02,4.6963446958696E+23
2012/01/03,4.8914163355341E+23
2012/01/04,5.0975579818981E+23
2012/01/05,5.0730824667218E+23
2012/01/06,5.6006564395739E+23
2012/01/07,6.5604585631224E+23
2012/01/08,7.1420542335585E+23
2012/01/09,7.9567850111305E+23
2012/01/10,7.8747125832987E+23
2012/01/11,7.7481426998559E+23
2012/01/12,7.8264587102654E+23
2012/01/13,7.7829853768651E+23
2012/01/14,7.3011003443814E+23
2012/01/15,6.0408888681197E+23
2012/01/16,5.5014451366648E+23
2012/01/17,5.9833918648138E+23
2012/01/18,5.8620364648845E+23
2012/01/19,5.8447493122354E+23
2012/01/20,5.7546956952039E+23
2012/01/21,5.8457805113387E+23
2012/01/22,5.8270090448348E+23
2012/01/23,5.6896317031268E+23
2012/01/24,5.6572453511428E+23
2012/01/25,5.3244207220501E+23
2012/01/26,5.3895801992005E+23
2012/01/27,5.2253140356519E+23
2012/01/28,5.1553670703663E+23
2012/01/29,3.9606150561692E+23
2012/01/30,4.7433019808789E+23
2012/01/31,4.9857049653846E+23
2012/02/01,4.7378900319364E+23
2012/02/02,4.7066521050866E+23
2012/02/03,5.3308060917548E+23
2012/02/04,4.6330405447556E+23
2012/02/05,4.7057522357019E+23
2012/02/06,4.6553335082562E+23
2012/02/07,4.6450913937604E+23
2012/02/08,4.5897656308243E+23
2012/02/09,4.5716405484315E+23
2012/02/10,4.5623818789821E+23
2012/02/11,4.4571663976269E+23
2012/02/12,4.2922537900341E+23
2012/02/13,4.3553804223895E+23
2012/02/14,4.508773264267E+23
2012/02/15,4.612989066687E+23
2012/02/16,4.5260674720323E+23
2012/02/17,4.3974710029565E+23
2012/02/18,4.2950352577485E+23
2012/02/19,4.7333081698259E+23
2012/02/20,4.7830903607419E+23
2012/02/21,5.2232455522162E+23
2012/02/22,5.2088438018929E+23
2012/02/23,5.5495895395178E+23
