Date,activeaddresses30rsi
2013/10/30,52.686
2013/10/31,52.859
2013/11/01,50.936
2013/11/02,49.216
2013/11/03,50.249
2013/11/04,53.351
2013/11/05,56.165
2013/11/06,58.241
2013/11/07,58.053
2013/11/08,58.091
2013/11/09,57.886
2013/11/10,55.111
2013/11/11,54.947
2013/11/12,54.974
2013/11/13,56.17
2013/11/14,57.996
2013/11/15,54.948
2013/11/16,51.584
2013/11/17,52.304
2013/11/18,61.164
2013/11/19,66.09
2013/11/20,58.553
2013/11/21,61.083
2013/11/22,57.442
2013/11/23,55.321
2013/11/24,51.752
2013/11/25,53.904
2013/11/26,57.779
2013/11/27,59.677
2013/11/28,59.938
2013/11/29,58.192
2013/11/30,54.773
2013/12/01,55.024
2013/12/02,56.273
2013/12/03,55.743
2013/12/04,56.84
2013/12/05,56.806
2013/12/06,54.714
2013/12/07,52.192
2013/12/08,47.727
2013/12/09,52.545
2013/12/10,52.341
2013/12/11,52.141
2013/12/12,49.487
2013/12/13,51.25
2013/12/14,51.493
2013/12/15,50.651
2013/12/16,54.75
2013/12/17,52.415
2013/12/18,54.788
2013/12/19,51.978
2013/12/20,51.491
2013/12/21,48.553
2013/12/22,48.191
2013/12/23,51.389
2013/12/24,48.971
2013/12/25,48.94
2013/12/26,48.105
2013/12/27,48.554
2013/12/28,47.367
2013/12/29,49.009
2013/12/30,51.742
2013/12/31,47.938
2014/01/01,45.667
