Date,top100cap30rsi
2013/07/01,59.033
2013/07/02,60.508
2013/07/03,60.905
2013/07/04,63.856
2013/07/05,66.366
2013/07/06,69.432
2013/07/07,68.961
2013/07/08,70.383
2013/07/09,70.595
2013/07/10,69.083
2013/07/11,69.585
2013/07/12,64.576
2013/07/13,60.008
2013/07/14,57.307
2013/07/15,55.629
2013/07/16,53.953
2013/07/17,56.307
2013/07/18,65.074
2013/07/19,60.532
2013/07/20,59.325
2013/07/21,59.577
2013/07/22,59.872
2013/07/23,57.528
2013/07/24,58.205
2013/07/25,58.287
2013/07/26,57.054
2013/07/27,57.603
2013/07/28,57.849
2013/07/29,60.561
2013/07/30,61.472
2013/07/31,64.58
2013/08/01,61.201
2013/08/02,61.472
2013/08/03,58.241
2013/08/04,57.941
2013/08/05,55.513
2013/08/06,56.429
2013/08/07,57.558
2013/08/08,58.297
2013/08/09,56.794
2013/08/10,54.108
2013/08/11,57.763
2013/08/12,63.708
2013/08/13,65.465
2013/08/14,62.649
2013/08/15,59.544
2013/08/16,56.838
2013/08/17,52.302
2013/08/18,52.155
2013/08/19,52.491
2013/08/20,48.679
2013/08/21,47.25
2013/08/22,47.402
2013/08/23,43.673
2013/08/24,43.45
2013/08/25,43.998
2013/08/26,43.091
2013/08/27,41.776
2013/08/28,42.651
2013/08/29,38.868
2013/08/30,38.784
2013/08/31,38.259
2013/09/01,36.853
2013/09/02,36.068
2013/09/03,35.87
2013/09/04,38.255
2013/09/05,35.561
2013/09/06,35.481
2013/09/07,34.916
2013/09/08,35.024
2013/09/09,31.838
2013/09/10,32.31
2013/09/11,31.343
2013/09/12,30.669
2013/09/13,30.037
2013/09/14,29.803
2013/09/15,29.35
2013/09/16,28.147
2013/09/17,28.139
2013/09/18,27.588
2013/09/19,33.803
2013/09/20,33.784
2013/09/21,33.645
2013/09/22,30.154
2013/09/23,31.817
2013/09/24,30.958
2013/09/25,30.319
2013/09/26,31.839
2013/09/27,33.448
2013/09/28,33.28
2013/09/29,35.313
2013/09/30,35.348
2013/10/01,36.882
2013/10/02,44.644
2013/10/03,51.116
2013/10/04,50.509
2013/10/05,50.956
2013/10/06,49.782
2013/10/07,49.476
2013/10/08,49.469
2013/10/09,47.884
2013/10/10,47.725
2013/10/11,51.176
2013/10/12,51.726
2013/10/13,52.135
2013/10/14,50.703
2013/10/15,50.155
2013/10/16,48.286
2013/10/17,47.757
2013/10/18,51.332
2013/10/19,52.41
2013/10/20,51.76
2013/10/21,47.819
2013/10/22,45.123
2013/10/23,45.048
2013/10/24,43.56
2013/10/25,68.161
2013/10/26,68.819
2013/10/27,68.827
2013/10/28,68.117
2013/10/29,68.077
2013/10/30,68.595
2013/10/31,68.88
2013/11/01,69.41
2013/11/02,68.682
2013/11/03,69.443
2013/11/04,75.522
2013/11/05,76.26
2013/11/06,76.752
2013/11/07,76.986
2013/11/08,76.972
2013/11/09,76.623
2013/11/10,76.851
2013/11/11,75.646
2013/11/12,74.923
2013/11/13,72.579
2013/11/14,72.75
2013/11/15,71.486
2013/11/16,71.823
2013/11/17,72.175
2013/11/18,72.206
2013/11/19,73.069
2013/11/20,72.559
2013/11/21,69.636
2013/11/22,78.835
2013/11/23,69.439
2013/11/24,69.145
2013/11/25,67.699
2013/11/26,65.937
2013/11/27,63.797
2013/11/28,64.882
2013/11/29,60.752
2013/11/30,58.728
2013/12/01,59.095
2013/12/02,58.049
2013/12/03,58.285
2013/12/04,58.072
2013/12/05,56.715
2013/12/06,59.083
2013/12/07,59.232
2013/12/08,58.186
2013/12/09,58.523
2013/12/10,62.465
2013/12/11,65.153
2013/12/12,65.707
2013/12/13,66.645
2013/12/14,64.555
2013/12/15,64.129
2013/12/16,63.905
2013/12/17,63.85
2013/12/18,64.028
2013/12/19,63.631
2013/12/20,63.095
2013/12/21,60.622
2013/12/22,59.36
2013/12/23,58.742
2013/12/24,59.617
2013/12/25,49.463
2013/12/26,49.392
2013/12/27,49.039
2013/12/28,49.006
2013/12/29,48.502
2013/12/30,49.855
2013/12/31,48.995
2014/01/01,43.497
2014/01/02,43.849
