Date,mining_profitability14rsi
2013/04/29,51.043
2013/04/30,47.297
2013/05/01,47.069
2013/05/02,42.938
2013/05/03,41.716
2013/05/04,45.079
2013/05/05,48.255
2013/05/06,44.559
2013/05/07,45.183
2013/05/08,44.159
2013/05/09,44.708
2013/05/10,46.842
2013/05/11,47.876
2013/05/12,43.628
2013/05/13,43.513
2013/05/14,40.6
2013/05/15,40.128
2013/05/16,43.494
2013/05/17,45.574
2013/05/18,45.39
2013/05/19,43.381
2013/05/20,41.619
2013/05/21,50.11
2013/05/22,46.826
2013/05/23,51.494
2013/05/24,49.884
2013/05/25,50.053
2013/05/26,47.444
2013/05/27,48.792
2013/05/28,46.722
2013/05/29,47.953
2013/05/30,50.354
2013/05/31,45.383
2013/06/01,53.32
2013/06/02,44.808
2013/06/03,47.68
2013/06/04,47.08
2013/06/05,38.726
2013/06/06,37.461
2013/06/07,36.835
2013/06/08,38.018
2013/06/09,33.338
2013/06/10,36.063
2013/06/11,39.948
2013/06/12,39.859
2013/06/13,36.452
2013/06/14,38.552
2013/06/15,36.731
2013/06/16,36.827
2013/06/17,30.584
2013/06/18,33.648
2013/06/19,39.338
2013/06/20,38.727
2013/06/21,39.686
2013/06/22,37.544
2013/06/23,35.585
2013/06/24,36.063
2013/06/25,36.83
2013/06/26,36.558
2013/06/27,38.214
2013/06/28,35.115
2013/06/29,34.209
2013/06/30,30.893
2013/07/01,32.23
2013/07/02,31.11
2013/07/03,35.253
2013/07/04,31.148
2013/07/05,33.12
2013/07/06,31.013
2013/07/07,30.246
2013/07/08,35.499
2013/07/09,33.802
2013/07/10,39.461
2013/07/11,34.11
2013/07/12,33.671
2013/07/13,42.081
2013/07/14,40.638
2013/07/15,40.14
2013/07/16,40.07
2013/07/17,44.978
2013/07/18,39.06
2013/07/19,41.372
2013/07/20,41.396
2013/07/21,43.558
2013/07/22,36.914
2013/07/23,35.718
2013/07/24,43.02
2013/07/25,39.878
2013/07/26,42.029
2013/07/27,44.367
2013/07/28,40.366
2013/07/29,46.765
2013/07/30,46.624
2013/07/31,45.289
2013/08/01,43.461
2013/08/02,47.813
2013/08/03,41.083
2013/08/04,43.086
2013/08/05,41.766
2013/08/06,43.999
2013/08/07,42.59
2013/08/08,45.159
2013/08/09,40.557
2013/08/10,45.225
2013/08/11,43.568
2013/08/12,42.802
2013/08/13,40.442
2013/08/14,36.532
2013/08/15,38.044
2013/08/16,37.263
2013/08/17,38.819
2013/08/18,38.598
2013/08/19,37.545
2013/08/20,41.558
2013/08/21,41.126
2013/08/22,45.973
2013/08/23,40.54
2013/08/24,39.134
2013/08/25,35.653
2013/08/26,38.941
2013/08/27,39.291
2013/08/28,44.114
2013/08/29,41.01
2013/08/30,43.916
2013/08/31,46.661
2013/09/01,43.374
2013/09/02,44.303
2013/09/03,45.446
2013/09/04,35.202
2013/09/05,38.408
2013/09/06,37.01
2013/09/07,34.538
2013/09/08,39.591
2013/09/09,42.872
2013/09/10,40.326
2013/09/11,42.869
2013/09/12,42.423
2013/09/13,41.881
2013/09/14,43.283
2013/09/15,34.571
2013/09/16,34.384
2013/09/17,42.181
2013/09/18,41.332
2013/09/19,39.242
2013/09/20,39.967
2013/09/21,38.704
2013/09/22,39.447
2013/09/23,38.866
2013/09/24,39.659
2013/09/25,36.495
2013/09/26,31.361
2013/09/27,37.069
2013/09/28,37.551
2013/09/29,35.927
2013/09/30,36.904
2013/10/01,37.599
2013/10/02,36.865
2013/10/03,34.25
2013/10/04,35.74
2013/10/05,42.592
2013/10/06,35.343
2013/10/07,34.862
2013/10/08,36.319
2013/10/09,36.173
2013/10/10,38.497
2013/10/11,37.282
2013/10/12,41.32
2013/10/13,38.805
2013/10/14,42.056
2013/10/15,42.935
2013/10/16,36.021
2013/10/17,33.946
2013/10/18,39.97
2013/10/19,40.65
2013/10/20,39.282
2013/10/21,42.801
2013/10/22,47.317
2013/10/23,48.09
2013/10/24,46.722
2013/10/25,44.213
2013/10/26,33.959
2013/10/27,38.98
2013/10/28,38.568
2013/10/29,40.012
2013/10/30,43.06
2013/10/31,42.086
2013/11/01,43.364
2013/11/02,40.719
2013/11/03,42.404
2013/11/04,45.028
2013/11/05,45.506
2013/11/06,42.383
2013/11/07,42.514
2013/11/08,48.954
2013/11/09,57.629
2013/11/10,50.547
2013/11/11,50.612
2013/11/12,55.111
2013/11/13,51.707
2013/11/14,61.728
2013/11/15,60.188
2013/11/16,60.895
2013/11/17,59.764
2013/11/18,61.238
2013/11/19,69.619
2013/11/20,55.1
2013/11/21,60.725
2013/11/22,67.64
2013/11/23,68.171
2013/11/24,65.595
2013/11/25,66.183
2013/11/26,66.602
2013/11/27,76.338
2013/11/28,74.739
2013/11/29,68.468
2013/11/30,72.585
2013/12/01,57.412
2013/12/02,53.098
2013/12/03,62.596
2013/12/04,56.211
2013/12/05,57.255
2013/12/06,57.672
2013/12/07,45.834
2013/12/08,48.478
2013/12/09,48.19
2013/12/10,51.013
2013/12/11,45.386
2013/12/12,44.134
2013/12/13,46.325
2013/12/14,47.615
2013/12/15,42.698
2013/12/16,45.452
2013/12/17,40.865
2013/12/18,37.426
2013/12/19,41.043
2013/12/20,39.314
2013/12/21,37.986
2013/12/22,37.736
2013/12/23,37.657
2013/12/24,37.967
2013/12/25,37.574
2013/12/26,42.666
2013/12/27,42.51
2013/12/28,39.288
2013/12/29,44.424
2013/12/30,43.217
2013/12/31,44.488
2014/01/01,46.5
2014/01/02,37.082
2014/01/03,44.912
