Date,difficulty90var
2013/04/15,2567638057558
2013/04/16,2652447795025
2013/04/17,2758250272700
2013/04/18,2936841391024
2013/04/19,3107340479299
2013/04/20,3269747537528
2013/04/21,3424062565708
2013/04/22,3570285563842
2013/04/23,3705865399816
2013/04/24,3823245990120
2013/04/25,3931721326432
2013/04/26,4031291408750
2013/04/27,4121956237076
2013/04/28,4203715811408
2013/04/29,4276570131748
2013/04/30,4416478161259
2013/05/01,4566138193669
2013/05/02,4703324940710
2013/05/03,4828038402382
2013/05/04,4940278578686
2013/05/05,5040045469621
2013/05/06,5137023472602
2013/05/07,5232294401290
2013/05/08,5316145264416
2013/05/09,5388576061981
2013/05/10,5449586793985
2013/05/11,5499177460428
2013/05/12,5555966504632
2013/05/13,5683226128875
2013/05/14,5795029835465
2013/05/15,5891377624403
2013/05/16,5972269495688
2013/05/17,6037705449320
2013/05/18,6087685485299
2013/05/19,6151478207977
2013/05/20,6202114660158
2013/05/21,6238727655248
2013/05/22,6261317193246
2013/05/23,6269883274153
2013/05/24,6264425897968
2013/05/25,6266845828596
2013/05/26,6318752595334
2013/05/27,6352809780071
2013/05/28,6369017382807
2013/05/29,6367375403541
2013/05/30,6366377419091
2013/05/31,6395258410585
2013/06/01,6409172842506
2013/06/02,6408120714852
2013/06/03,6392102027625
2013/06/04,6361116780823
2013/06/05,6438715473404
2013/06/06,6773409257296
2013/06/07,7076921022618
2013/06/08,7349250769370
2013/06/09,7590398497552
2013/06/10,7800364207164
2013/06/11,7979147898205
2013/06/12,8159408765588
2013/06/13,8329634192341
2013/06/14,8471283260415
2013/06/15,8584355969811
2013/06/16,8713395365933
2013/06/17,9381995875102
2013/06/18,9998742855170
2013/06/19,10563636306135
2013/06/20,11076676227999
2013/06/21,11537862620761
2013/06/22,12039840093389
2013/06/23,12616539901603
2013/06/24,13153769000563
2013/06/25,13651527390268
2013/06/26,14109815070719
2013/06/27,14528632041915
2013/06/28,14907978303857
2013/06/29,15394620945548
2013/06/30,16060496285642
2013/07/01,16673454331131
2013/07/02,17233495082015
2013/07/03,17740618538294
2013/07/04,18235015089170
2013/07/05,18760548192162
2013/07/06,19239992594167
2013/07/07,19673348295183
2013/07/08,20060615295212
2013/07/09,20401793594254
2013/07/10,20696883192307
2013/07/11,21999440010213
2013/07/12,23233030431109
2013/07/13,24382207146891
2013/07/14,25446970157561
2013/07/15,26427319463116
