Date,sentinusd3stdUSD
2013/02/15,8332978
2013/02/16,3174215
2013/02/17,4630282
2013/02/18,4140476
2013/02/19,7004947
2013/02/20,4762013
2013/02/21,5886693
2013/02/22,13071784
2013/02/23,13317910
2013/02/24,13636114
2013/02/25,17587524
2013/02/26,9782729
2013/02/27,9957393
2013/02/28,4128058
2013/03/01,3811357
2013/03/02,2851871
2013/03/03,19479037
2013/03/04,17229167
2013/03/05,37424733
2013/03/06,42875205
2013/03/07,19527524
2013/03/08,28274790
2013/03/09,13962337
2013/03/10,9564571
2013/03/11,10141834
2013/03/12,16797085
2013/03/13,18505303
2013/03/14,16518394
2013/03/15,166640230
2013/03/16,154602842
2013/03/17,160269536
2013/03/18,110359184
2013/03/19,110623133
2013/03/20,68676199
2013/03/21,19957299
2013/03/22,26676930
2013/03/23,35345393
2013/03/24,24411496
2013/03/25,32137883
2013/03/26,46722537
2013/03/27,90931773
2013/03/28,72391736
2013/03/29,69941135
2013/03/30,30632903
2013/03/31,29661894
2013/04/01,20870632
2013/04/02,120549663
2013/04/03,119737853
2013/04/04,26987826
2013/04/05,23837475
2013/04/06,65345518
2013/04/07,83851132
2013/04/08,68338869
2013/04/09,161547984
2013/04/10,181805486
2013/04/11,196380209
2013/04/12,255689067
2013/04/13,76634550
2013/04/14,63391863
2013/04/15,31282006
2013/04/16,53761236
2013/04/17,45121920
2013/04/18,399700648
2013/04/19,371953252
2013/04/20,383279386
2013/04/21,81537411
2013/04/22,66350394
2013/04/23,71379806
2013/04/24,59679025
2013/04/25,48870646
2013/04/26,79978679
2013/04/27,101025815
2013/04/28,69670818
2013/04/29,39397314
2013/04/30,39328438
2013/05/01,29040253
2013/05/02,24547011
2013/05/03,31068109
2013/05/04,38965859
2013/05/05,23273203
2013/05/06,34822631
2013/05/07,31767292
2013/05/08,13000294
2013/05/09,27355230
2013/05/10,15970821
2013/05/11,13547803
2013/05/12,21270262
2013/05/13,19045421
2013/05/14,21108964
2013/05/15,7766932
2013/05/16,7299330
2013/05/17,9697819
2013/05/18,9244597
2013/05/19,26865575
2013/05/20,19083401
2013/05/21,21138140
2013/05/22,17469281
2013/05/23,6171813
2013/05/24,10929983
2013/05/25,10394493
2013/05/26,36741254
2013/05/27,31566728
2013/05/28,30327561
2013/05/29,7608121
2013/05/30,9736020
2013/05/31,10274039
2013/06/01,18002352
2013/06/02,23832933
2013/06/03,31528899
2013/06/04,30338403
2013/06/05,11534879
2013/06/06,10838743
2013/06/07,10519937
2013/06/08,36816218
2013/06/09,28244247
2013/06/10,23808861
2013/06/11,16163698
2013/06/12,8807521
2013/06/13,4096870
2013/06/14,12219969
2013/06/15,26455150
2013/06/16,26699894
2013/06/17,13409276
2013/06/18,12024619
2013/06/19,5978527
2013/06/20,12658992
