Date,sentinusd7momUSD
2013/09/06,-18055312
2013/09/07,-9382638
2013/09/08,-25631661
2013/09/09,-13873579
2013/09/10,-35006652
2013/09/11,-22558190
2013/09/12,-7661952
2013/09/13,-1583314
2013/09/14,-7569264
2013/09/15,2511114
2013/09/16,12861885
2013/09/17,5636670
2013/09/18,11838732
2013/09/19,19487625
2013/09/20,9201704
2013/09/21,-9254650
2013/09/22,9566789
2013/09/23,34919959
2013/09/24,33378541
2013/09/25,3910378
2013/09/26,-13026159
2013/09/27,-4223463
2013/09/28,10488949
2013/09/29,6959597
2013/09/30,-16999420
2013/10/01,21872238
2013/10/02,34084153
2013/10/03,7832680
2013/10/04,7408293
2013/10/05,-13959523
2013/10/06,-15160811
2013/10/07,-16287715
2013/10/08,-49502470
2013/10/09,-25706865
2013/10/10,-9177020
2013/10/11,2066461
2013/10/12,27905956
2013/10/13,32613834
2013/10/14,27853967
2013/10/15,33900742
2013/10/16,31688123
2013/10/17,26497347
2013/10/18,37336107
2013/10/19,69427171
2013/10/20,27285462
2013/10/21,54732457
2013/10/22,85287694
2013/10/23,64281268
2013/10/24,68674209
2013/10/25,340013607
2013/10/26,-36590287
2013/10/27,-25447292
2013/10/28,-52853273
2013/10/29,118443796
2013/10/30,-66038655
2013/10/31,-60464485
2013/11/01,-359413673
2013/11/02,-13072543
2013/11/03,15211377
2013/11/04,71769206
2013/11/05,-99482776
2013/11/06,69030968
2013/11/07,170911331
2013/11/08,172364861
2013/11/09,166367970
2013/11/10,99273476
2013/11/11,4598979
2013/11/12,99778384
2013/11/13,193786957
2013/11/14,90285388
2013/11/15,696217019
2013/11/16,320566505
2013/11/17,279156701
2013/11/18,814585348
2013/11/19,902192470
2013/11/20,397407608
2013/11/21,829928292
2013/11/22,570261012
2013/11/23,483321389
2013/11/24,534757081
2013/11/25,-1255917
2013/11/26,1895255491
2013/11/27,2050822436
2013/11/28,1804413366
2013/11/29,897354315
2013/11/30,817870765
2013/12/01,297035119
2013/12/02,252693986
2013/12/03,-1994566948
2013/12/04,-1513305504
2013/12/05,-1600900472
2013/12/06,-1428797501
2013/12/07,-225218802
2013/12/08,-439526409
2013/12/09,-261390882
2013/12/10,-396458718
2013/12/11,-392499024
2013/12/12,-658318514
2013/12/13,-250874259
2013/12/14,-1152956770
2013/12/15,-509892512
2013/12/16,589850531
2013/12/17,312968760
2013/12/18,126925910
2013/12/19,55732449
