Date,hashrate3wma
2018/02/12,2.1900281164044E+19
2018/02/13,2.326786998626E+19
2018/02/14,2.3654150118701E+19
2018/02/15,2.2509114263592E+19
2018/02/16,2.164866801689E+19
2018/02/17,2.2242707358284E+19
2018/02/18,2.2312906748209E+19
2018/02/19,2.2693207213185E+19
2018/02/20,2.1879012079742E+19
2018/02/21,2.3270618409322E+19
2018/02/22,2.3936256774931E+19
2018/02/23,2.321039850499E+19
2018/02/24,2.1880701962896E+19
2018/02/25,2.2821483186831E+19
2018/02/26,2.2697725361238E+19
2018/02/27,2.323357968606E+19
2018/02/28,2.4006380554058E+19
2018/03/01,2.3451178013943E+19
2018/03/02,2.371014849147E+19
2018/03/03,2.4402856057874E+19
2018/03/04,2.4530146781795E+19
2018/03/05,2.4775492496496E+19
2018/03/06,2.4656864120459E+19
2018/03/07,2.5562058991544E+19
2018/03/08,2.56064743098E+19
2018/03/09,2.5842128302572E+19
2018/03/10,2.4588165197852E+19
2018/03/11,2.3342944604101E+19
2018/03/12,2.4854339273624E+19
2018/03/13,2.629974772044E+19
2018/03/14,2.5732358845791E+19
2018/03/15,2.4272968306733E+19
2018/03/16,2.4013923650604E+19
2018/03/17,2.4851000591878E+19
2018/03/18,2.4975108752262E+19
2018/03/19,2.6014395733065E+19
2018/03/20,2.5173808074744E+19
2018/03/21,2.4806423710815E+19
2018/03/22,2.4661105143856E+19
2018/03/23,2.3763665879715E+19
2018/03/24,2.4888440234649E+19
2018/03/25,2.4989547961278E+19
2018/03/26,2.5146555030806E+19
2018/03/27,2.5257657387222E+19
2018/03/28,2.5527404462722E+19
2018/03/29,2.5006070213473E+19
2018/03/30,2.6297631384201E+19
2018/03/31,2.5611066511441E+19
2018/04/01,2.5478027008903E+19
2018/04/02,2.6296054064687E+19
2018/04/03,2.7256146898759E+19
2018/04/04,2.7020643666491E+19
2018/04/05,2.6793848483151E+19
2018/04/06,2.6425482278752E+19
2018/04/07,2.7699971448535E+19
2018/04/08,2.8179138119407E+19
2018/04/09,2.8428139083559E+19
2018/04/10,2.7336722402471E+19
2018/04/11,2.7814383897943E+19
2018/04/12,2.7883442041983E+19
2018/04/13,2.7903606180524E+19
2018/04/14,2.9008248018023E+19
2018/04/15,2.8515406067226E+19
2018/04/16,2.8672553417644E+19
2018/04/17,2.8785003618754E+19
2018/04/18,2.9787443947261E+19
2018/04/19,3.1075777534283E+19
2018/04/20,3.1847092256271E+19
2018/04/21,2.9746900102789E+19
2018/04/22,2.984808898175E+19
2018/04/23,2.9862106060574E+19
2018/04/24,2.9745378329416E+19
2018/04/25,2.8566114476874E+19
2018/04/26,2.6945665497315E+19
2018/04/27,2.6181888020196E+19
2018/04/28,2.6194583109091E+19
2018/04/29,2.8676966939468E+19
2018/04/30,2.9580581971323E+19
2018/05/01,3.0884413134222E+19
2018/05/02,3.0705031520173E+19
2018/05/03,3.0238221995338E+19
2018/05/04,2.9746429156168E+19
2018/05/05,2.8947015967622E+19
2018/05/06,3.00815296946E+19
2018/05/07,2.9122173339739E+19
2018/05/08,2.8857182433973E+19
2018/05/09,2.951372309663E+19
2018/05/10,3.1188447127782E+19
2018/05/11,2.9493553182313E+19
2018/05/12,2.9821735372895E+19
2018/05/13,3.1353369033475E+19
2018/05/14,2.9556833307982E+19
2018/05/15,2.9786175719921E+19
2018/05/16,3.1299304322138E+19
2018/05/17,3.3307401205302E+19
2018/05/18,3.0376753848541E+19
2018/05/19,3.0095460082084E+19
2018/05/20,3.0864417979935E+19
2018/05/21,3.0592187931741E+19
2018/05/22,3.2449942713951E+19
2018/05/23,3.1377563524364E+19
2018/05/24,3.2250913637675E+19
2018/05/25,3.351024892063E+19
2018/05/26,3.4559764646972E+19
2018/05/27,3.5296236324228E+19
2018/05/28,3.4891146055952E+19
2018/05/29,3.3706476464637E+19
2018/05/30,3.2806076425777E+19
2018/05/31,3.4683584247243E+19
2018/06/01,3.5703919031733E+19
2018/06/02,3.6145958362348E+19
2018/06/03,3.4874598048288E+19
2018/06/04,3.5153530800488E+19
2018/06/05,3.8641073275467E+19
2018/06/06,3.9129459797042E+19
2018/06/07,3.702383185495E+19
2018/06/08,3.633023359216E+19
2018/06/09,3.5897600410392E+19
2018/06/10,3.435509048809E+19
2018/06/11,3.3556364824722E+19
2018/06/12,3.4219276434505E+19
2018/06/13,3.5070455883996E+19
2018/06/14,3.6275564319612E+19
2018/06/15,3.5954256800883E+19
2018/06/16,3.807506818598E+19
2018/06/17,3.9939046453986E+19
2018/06/18,3.9617025881306E+19
