Date,transactions30roc
2013/05/15,17.85
2013/05/16,-9.759
2013/05/17,3.6
2013/05/18,12.008
2013/05/19,-19.745
2013/05/20,1.13
2013/05/21,22.119
2013/05/22,10.189
2013/05/23,-3.065
2013/05/24,-14.846
2013/05/25,-18.077
2013/05/26,-26.381
2013/05/27,18.905
2013/05/28,36.473
2013/05/29,6.376
2013/05/30,20.647
2013/05/31,-1.821
2013/06/01,-2.165
2013/06/02,-2.978
2013/06/03,11.095
2013/06/04,14.436
2013/06/05,6.022
2013/06/06,-3.73
2013/06/07,3.487
2013/06/08,-27.883
2013/06/09,-34.555
2013/06/10,-38.779
2013/06/11,-24.176
2013/06/12,-24.859
2013/06/13,-35.148
2013/06/14,-21.924
2013/06/15,-41.562
2013/06/16,-26.957
2013/06/17,-12.039
2013/06/18,-3.749
2013/06/19,-3.691
2013/06/20,-2.658
2013/06/21,-9.598
2013/06/22,-25.492
2013/06/23,-30.58
2013/06/24,-13.734
2013/06/25,9.648
2013/06/26,-13.558
2013/06/27,-19.242
2013/06/28,-10.036
2013/06/29,-36.458
2013/06/30,-43.143
2013/07/01,-27.962
2013/07/02,-20.606
2013/07/03,-36.496
2013/07/04,-38.813
2013/07/05,-34.634
2013/07/06,-39.062
2013/07/07,-42.011
2013/07/08,-17.903
2013/07/09,-8.271
2013/07/10,-12.901
2013/07/11,-12.576
2013/07/12,5.256
2013/07/13,-12.077
2013/07/14,-30.467
2013/07/15,2.628
2013/07/16,-8.305
2013/07/17,-11.658
2013/07/18,-10.611
2013/07/19,-21.979
2013/07/20,-35.991
2013/07/21,-24.759
2013/07/22,-10.365
2013/07/23,-0.133
2013/07/24,-4.293
2013/07/25,-4.695
2013/07/26,-18.137
2013/07/27,-20.126
2013/07/28,-24.804
2013/07/29,14.455
2013/07/30,36.156
2013/07/31,26.592
2013/08/01,28.433
2013/08/02,45.667
2013/08/03,29.746
2013/08/04,16.054
2013/08/05,53.117
2013/08/06,79.579
2013/08/07,45.599
2013/08/08,42.242
2013/08/09,26.689
2013/08/10,19.013
2013/08/11,-20.58
2013/08/12,32.261
2013/08/13,52.173
2013/08/14,40.727
2013/08/15,47.749
2013/08/16,75.365
2013/08/17,37.423
2013/08/18,53.61
2013/08/19,112.248
2013/08/20,78.796
2013/08/21,51.542
2013/08/22,73.921
2013/08/23,30.323
2013/08/24,21.824
2013/08/25,19.046
2013/08/26,52.344
2013/08/27,67.011
2013/08/28,55.087
2013/08/29,40.221
2013/08/30,26.481
2013/08/31,-6.791
2013/09/01,-9.928
2013/09/02,12.013
2013/09/03,21.517
2013/09/04,3.944
2013/09/05,11.761
2013/09/06,5.651
2013/09/07,-10.369
2013/09/08,-6.405
2013/09/09,11.631
2013/09/10,38.962
2013/09/11,-2.004
2013/09/12,-1.531
2013/09/13,-13.326
2013/09/14,-25.22
2013/09/15,-24.609
2013/09/16,-8.207
2013/09/17,20.549
2013/09/18,-15.113
2013/09/19,-5.414
2013/09/20,-2.554
2013/09/21,-21.453
2013/09/22,-7.817
2013/09/23,26.115
2013/09/24,40.825
2013/09/25,-2.834
2013/09/26,-7.474
2013/09/27,-27.609
2013/09/28,-27.89
2013/09/29,-34.275
2013/09/30,-0.611
2013/10/01,22.871
2013/10/02,21.003
2013/10/03,14.207
2013/10/04,-1.999
2013/10/05,-25.253
2013/10/06,-29.66
2013/10/07,-14.339
2013/10/08,-2.862
2013/10/09,-12.143
2013/10/10,6.722
2013/10/11,5.564
2013/10/12,-5.427
2013/10/13,14.459
2013/10/14,31.978
2013/10/15,3.879
2013/10/16,-2.155
2013/10/17,-31.068
2013/10/18,-1.519
2013/10/19,-7.609
2013/10/20,-16.286
2013/10/21,15.162
2013/10/22,27.817
2013/10/23,-15.395
2013/10/24,1.666
2013/10/25,5.326
2013/10/26,-17.11
2013/10/27,-6.91
2013/10/28,20.107
2013/10/29,21.358
2013/10/30,2.677
2013/10/31,1.73
2013/11/01,-26.889
2013/11/02,-34.326
2013/11/03,-30.922
2013/11/04,0.15
2013/11/05,20.508
2013/11/06,23.55
2013/11/07,34.292
2013/11/08,17.022
2013/11/09,-2.833
2013/11/10,10.882
2013/11/11,16.155
2013/11/12,13.748
2013/11/13,13.111
2013/11/14,24.591
2013/11/15,20.017
2013/11/16,0.595
2013/11/17,-14.011
2013/11/18,43.182
2013/11/19,88.435
2013/11/20,28.476
