Date,sentinusd30emaUSD
2012/10/13,56577631
2012/10/14,53927763
2012/10/15,51035281
2012/10/16,49782809
2012/10/17,49055412
2012/10/18,48423802
2012/10/19,47293345
2012/10/20,46222910
2012/10/21,44945045
2012/10/22,43689955
2012/10/23,42758352
2012/10/24,41371196
2012/10/25,39697758
2012/10/26,37789876
2012/10/27,36409817
2012/10/28,34643882
2012/10/29,33050486
2012/10/30,33739785
2012/10/31,34193435
2012/11/01,33767822
2012/11/02,32131106
2012/11/03,31315035
2012/11/04,30796557
2012/11/05,30351524
2012/11/06,29658114
2012/11/07,28988063
2012/11/08,28000722
2012/11/09,26758949
2012/11/10,25288725
2012/11/11,23903813
2012/11/12,22663123
2012/11/13,21744588
2012/11/14,21206778
2012/11/15,21677824
2012/11/16,22949363
2012/11/17,23421506
2012/11/18,23418236
2012/11/19,22891219
2012/11/20,22539484
2012/11/21,21735171
2012/11/22,21400151
2012/11/23,20869308
2012/11/24,20398207
2012/11/25,19650849
2012/11/26,19218180
2012/11/27,19034499
2012/11/28,19207220
2012/11/29,18867905
2012/11/30,18242923
2012/12/01,17519679
2012/12/02,17168564
2012/12/03,17401019
2012/12/04,18312774
2012/12/05,19518177
2012/12/06,20987876
2012/12/07,21378727
2012/12/08,20840128
2012/12/09,20670197
2012/12/10,20173974
2012/12/11,20200032
2012/12/12,21968469
2012/12/13,23884059
2012/12/14,24859904
2012/12/15,24656058
2012/12/16,24568003
2012/12/17,24448653
2012/12/18,24830887
2012/12/19,24141139
2012/12/20,23332466
2012/12/21,23223145
2012/12/22,22860507
2012/12/23,22095404
2012/12/24,21520022
2012/12/25,20608130
2012/12/26,19770759
2012/12/27,19126303
2012/12/28,18749682
2012/12/29,18354602
2012/12/30,17796111
2012/12/31,17652283
2013/01/01,17728876
2013/01/02,18123909
2013/01/03,18304386
2013/01/04,19028465
2013/01/05,19533183
2013/01/06,19147081
2013/01/07,19101974
2013/01/08,19647825
2013/01/09,19800977
2013/01/10,19635574
2013/01/11,19495197
2013/01/12,19015944
2013/01/13,18528639
2013/01/14,18287265
2013/01/15,18887917
2013/01/16,19655676
2013/01/17,20050263
2013/01/18,20312647
2013/01/19,20415650
2013/01/20,20166316
2013/01/21,19945322
2013/01/22,20086764
2013/01/23,21310375
2013/01/24,21471436
2013/01/25,21657796
2013/01/26,21635035
2013/01/27,21793438
2013/01/28,22177012
2013/01/29,23461744
2013/01/30,24024346
2013/01/31,24353953
2013/02/01,25021931
2013/02/02,24944768
2013/02/03,24925745
2013/02/04,25244109
2013/02/05,26087658
2013/02/06,26739938
2013/02/07,27245069
2013/02/08,28400703
2013/02/09,28896070
2013/02/10,28958132
2013/02/11,28976532
2013/02/12,28866476
2013/02/13,28630454
2013/02/14,29058202
2013/02/15,29232560
2013/02/16,29413996
2013/02/17,29258112
2013/02/18,29302629
2013/02/19,29699213
2013/02/20,29784572
2013/02/21,29689319
2013/02/22,30569315
2013/02/23,30552778
2013/02/24,31541831
2013/02/25,32796457
2013/02/26,33199837
2013/02/27,33823581
2013/02/28,34468999
2013/03/01,35297057
2013/03/02,35978476
2013/03/03,35332043
2013/03/04,34977174
2013/03/05,37072075
2013/03/06,39865502
2013/03/07,40937443
2013/03/08,41310157
2013/03/09,41189563
2013/03/10,41824426
2013/03/11,41794743
2013/03/12,43093421
2013/03/13,44177962
2013/03/14,44133011
2013/03/15,55986884
2013/03/16,58721895
2013/03/17,57215161
2013/03/18,64519255
2013/03/19,66396883
2013/03/20,68715409
2013/03/21,71879323
2013/03/22,72732296
2013/03/23,72995891
2013/03/24,71904559
2013/03/25,73421791
2013/03/26,75893797
2013/03/27,83835280
2013/03/28,87569201
2013/03/29,89350986
2013/03/30,93355935
2013/03/31,95792710
2013/04/01,97859408
2013/04/02,108146320
2013/04/03,117439750
2013/04/04,124473962
2013/04/05,131112830
2013/04/06,132822859
2013/04/07,132461825
2013/04/08,137461679
2013/04/09,149512000
2013/04/10,167775652
2013/04/11,169368409
2013/04/12,167374392
2013/04/13,162961905
2013/04/14,156372495
2013/04/15,151244995
2013/04/16,149497519
2013/04/17,147938320
2013/04/18,173793259
2013/04/19,174925767
2013/04/20,170504642
2013/04/21,166175735
2013/04/22,166759880
2013/04/23,167774140
2013/04/24,172552735
2013/04/25,175536323
2013/04/26,173751464
2013/04/27,168705170
2013/04/28,161907296
2013/04/29,158594607
2013/04/30,153441912
2013/05/01,150534894
2013/05/02,146582837
2013/05/03,141663477
2013/05/04,135225320
2013/05/05,130208095
2013/05/06,127229852
2013/05/07,125173199
2013/05/08,122258148
2013/05/09,118363170
2013/05/10,115717270
2013/05/11,112407359
