Date,size30rsi
2013/01/05,50.215
2013/01/06,48.317
2013/01/07,48.861
2013/01/08,53.495
2013/01/09,53.384
2013/01/10,54.91
2013/01/11,57.131
2013/01/12,54.295
2013/01/13,54.211
2013/01/14,50.304
2013/01/15,53.378
2013/01/16,55.431
2013/01/17,57.106
2013/01/18,55.45
2013/01/19,52.715
2013/01/20,50.783
2013/01/21,50.675
2013/01/22,51.204
2013/01/23,54.054
2013/01/24,51.572
2013/01/25,52.844
2013/01/26,51.579
2013/01/27,52.557
2013/01/28,53.164
2013/01/29,51.943
2013/01/30,48.803
2013/01/31,48.511
2013/02/01,53.914
2013/02/02,51.809
2013/02/03,50.863
2013/02/04,51.278
2013/02/05,50.057
2013/02/06,48.804
2013/02/07,53.528
2013/02/08,53.764
2013/02/09,53.653
2013/02/10,50.948
2013/02/11,52.024
2013/02/12,54.631
2013/02/13,51.083
2013/02/14,51.031
2013/02/15,49.818
2013/02/16,47.759
2013/02/17,47.88
2013/02/18,49.774
2013/02/19,51.453
2013/02/20,50.284
2013/02/21,49.534
2013/02/22,52.097
2013/02/23,51.671
2013/02/24,51.258
2013/02/25,50.175
2013/02/26,52.838
2013/02/27,49.656
2013/02/28,52.502
2013/03/01,54.688
2013/03/02,52.912
2013/03/03,50.474
2013/03/04,51.233
2013/03/05,54.089
2013/03/06,54.091
2013/03/07,54.786
2013/03/08,50.424
2013/03/09,49.955
2013/03/10,52.77
2013/03/11,51.214
2013/03/12,52.14
2013/03/13,50.83
2013/03/14,49.628
2013/03/15,51.34
2013/03/16,44.584
2013/03/17,42.947
2013/03/18,45.688
2013/03/19,48.099
2013/03/20,45.705
2013/03/21,47.876
2013/03/22,48.214
2013/03/23,47.732
2013/03/24,48.198
2013/03/25,51.814
2013/03/26,51.127
2013/03/27,53.716
2013/03/28,52.21
2013/03/29,52.439
2013/03/30,53.335
2013/03/31,49.457
2013/04/01,48.671
2013/04/02,52.003
2013/04/03,52.771
2013/04/04,55.884
2013/04/05,52.846
2013/04/06,50.032
2013/04/07,53.815
2013/04/08,52.905
2013/04/09,51.504
2013/04/10,50.579
2013/04/11,54.391
2013/04/12,50.012
2013/04/13,48.586
2013/04/14,50.922
2013/04/15,49.883
2013/04/16,51.374
2013/04/17,49.988
2013/04/18,48.48
2013/04/19,53.509
2013/04/20,49.479
2013/04/21,47.15
2013/04/22,48.888
2013/04/23,50.8
2013/04/24,53.124
2013/04/25,50.729
2013/04/26,49.501
2013/04/27,48.793
2013/04/28,47.113
2013/04/29,48.956
2013/04/30,51.288
2013/05/01,50.506
2013/05/02,52.304
2013/05/03,51.256
2013/05/04,49.515
2013/05/05,49.14
2013/05/06,49.917
2013/05/07,50.5
2013/05/08,49.406
2013/05/09,51.836
2013/05/10,51.948
2013/05/11,51.947
2013/05/12,51.24
2013/05/13,50.124
2013/05/14,52.759
2013/05/15,53.98
2013/05/16,52.509
2013/05/17,50.228
2013/05/18,49.696
2013/05/19,47.6
2013/05/20,50.853
2013/05/21,50.282
2013/05/22,49.047
2013/05/23,49.334
2013/05/24,49.057
2013/05/25,48.2
2013/05/26,46.875
2013/05/27,48.305
2013/05/28,50.22
2013/05/29,49.363
2013/05/30,49.021
2013/05/31,48.198
2013/06/01,46.184
2013/06/02,45.873
2013/06/03,46.417
2013/06/04,46.773
2013/06/05,48.695
2013/06/06,48.266
2013/06/07,49.482
2013/06/08,46.308
2013/06/09,47.521
2013/06/10,46.04
2013/06/11,46.542
2013/06/12,44.902
2013/06/13,45.12
2013/06/14,47.739
2013/06/15,44.429
2013/06/16,45.562
2013/06/17,49.516
2013/06/18,50.161
2013/06/19,51.258
2013/06/20,51.053
2013/06/21,48.29
2013/06/22,46.845
2013/06/23,45.783
2013/06/24,48.945
2013/06/25,48.188
2013/06/26,47.449
2013/06/27,48.209
2013/06/28,49.109
2013/06/29,46.021
2013/06/30,44.732
2013/07/01,47.148
2013/07/02,47.606
2013/07/03,44.487
