Date,confirmationtime
2013/04/30,9.664
2013/05/01,9.536
2013/05/02,10.746
2013/05/03,10.511
2013/05/04,9.057
2013/05/05,8.727
2013/05/06,8.675
2013/05/07,8.571
2013/05/08,8.727
2013/05/09,8.78
2013/05/10,8.372
2013/05/11,7.912
2013/05/12,8.571
2013/05/13,8.276
2013/05/14,9.351
2013/05/15,10.213
2013/05/16,9.73
2013/05/17,8.944
2013/05/18,9.664
2013/05/19,9.231
2013/05/20,11.163
2013/05/21,9.536
2013/05/22,9.231
2013/05/23,8.276
2013/05/24,8.521
2013/05/25,8.727
2013/05/26,8.834
2013/05/27,8.182
2013/05/28,9.114
2013/05/29,8.571
2013/05/30,8.045
2013/05/31,8.229
2013/06/01,6.761
2013/06/02,7.236
2013/06/03,6.761
2013/06/04,6.761
2013/06/05,7.826
2013/06/06,7.956
2013/06/07,8.944
2013/06/08,7.956
2013/06/09,9.057
2013/06/10,8.276
2013/06/11,8
2013/06/12,7.094
2013/06/13,7.742
2013/06/14,8
2013/06/15,8.324
2013/06/16,7.784
2013/06/17,9.931
2013/06/18,10.286
2013/06/19,10.588
2013/06/20,9.351
2013/06/21,8.571
2013/06/22,8.182
2013/06/23,8.727
2013/06/24,9.6
2013/06/25,9.172
2013/06/26,8.276
2013/06/27,8.623
2013/06/28,8.521
2013/06/29,8.521
2013/06/30,9.412
2013/07/01,9.172
2013/07/02,9.412
2013/07/03,7.826
2013/07/04,8.727
2013/07/05,7.742
2013/07/06,7.701
2013/07/07,7.742
2013/07/08,7.5
2013/07/09,7.784
2013/07/10,7.385
2013/07/11,8.276
2013/07/12,9.351
2013/07/13,9.172
2013/07/14,8.372
2013/07/15,8.78
2013/07/16,8.78
2013/07/17,7.826
2013/07/18,8.944
2013/07/19,8.421
2013/07/20,7.742
2013/07/21,7.236
2013/07/22,8.727
2013/07/23,10.213
2013/07/24,9.057
2013/07/25,9.863
2013/07/26,8.78
2013/07/27,7.956
2013/07/28,8.571
2013/07/29,8.09
2013/07/30,7.31
2013/07/31,7.579
2013/08/01,8.136
2013/08/02,7.5
2013/08/03,8.471
2013/08/04,8.045
2013/08/05,7.619
2013/08/06,7.579
2013/08/07,7.742
2013/08/08,7.024
2013/08/09,7.385
2013/08/10,6.857
2013/08/11,6.667
2013/08/12,6.667
2013/08/13,7.869
2013/08/14,8.571
2013/08/15,8.471
2013/08/16,8.571
2013/08/17,7.579
2013/08/18,7.423
2013/08/19,8.136
2013/08/20,7.579
2013/08/21,7.347
2013/08/22,6.667
2013/08/23,7.347
2013/08/24,7.869
2013/08/25,9.536
2013/08/26,8.675
2013/08/27,8.521
2013/08/28,8.09
2013/08/29,7.619
2013/08/30,7.024
2013/08/31,6.457
2013/09/01,6.516
2013/09/02,6.698
2013/09/03,7.423
2013/09/04,8.834
2013/09/05,8.045
2013/09/06,7.784
2013/09/07,9.931
2013/09/08,9.172
2013/09/09,7.094
2013/09/10,7.539
2013/09/11,7.2
2013/09/12,6.761
2013/09/13,7.059
2013/09/14,6.606
2013/09/15,7.956
2013/09/16,9.351
2013/09/17,8.045
2013/09/18,8.727
2013/09/19,7.579
2013/09/20,7.2
2013/09/21,7.619
2013/09/22,7.094
2013/09/23,6.857
2013/09/24,6.792
2013/09/25,6.99
2013/09/26,8.889
2013/09/27,8.09
2013/09/28,8.136
2013/09/29,8.471
2013/09/30,8.834
2013/10/01,7.701
2013/10/02,7.539
2013/10/03,7.236
2013/10/04,8
2013/10/05,6.575
2013/10/06,7.784
2013/10/07,9.231
2013/10/08,8.944
2013/10/09,8.045
2013/10/10,7.5
2013/10/11,7.784
2013/10/12,6.729
2013/10/13,6.516
2013/10/14,5.76
2013/10/15,5.538
2013/10/16,6.857
2013/10/17,8.623
2013/10/18,7.5
2013/10/19,6.457
2013/10/20,7.236
2013/10/21,6.825
2013/10/22,5.878
2013/10/23,6.516
2013/10/24,6.698
