Date,mediantransactionvalue90stdUSD
2012/11/30,18.168
2012/12/01,18.175
2012/12/02,18.134
2012/12/03,18.3
2012/12/04,18.282
2012/12/05,18.265
2012/12/06,18.983
2012/12/07,18.201
2012/12/08,17.341
2012/12/09,17.325
2012/12/10,17.238
2012/12/11,17.19
2012/12/12,17.13
2012/12/13,17.078
2012/12/14,17.025
2012/12/15,16.944
2012/12/16,17.013
2012/12/17,17.051
2012/12/18,17.012
2012/12/19,16.965
2012/12/20,16.963
2012/12/21,16.995
2012/12/22,17.005
2012/12/23,17.026
2012/12/24,16.911
2012/12/25,16.882
2012/12/26,16.902
2012/12/27,16.932
2012/12/28,16.977
2012/12/29,17.011
2012/12/30,17.09
2012/12/31,17.018
2013/01/01,16.674
2013/01/02,16.663
2013/01/03,16.647
2013/01/04,16.582
2013/01/05,16.542
2013/01/06,16.454
2013/01/07,16.419
2013/01/08,16.387
2013/01/09,16.372
2013/01/10,16.394
2013/01/11,16.374
2013/01/12,16.37
2013/01/13,16.444
2013/01/14,16.463
2013/01/15,16.426
2013/01/16,16.372
2013/01/17,16.338
2013/01/18,16.338
2013/01/19,16.237
2013/01/20,16.157
2013/01/21,16.151
2013/01/22,16.487
2013/01/23,16.551
2013/01/24,15.099
2013/01/25,12.407
2013/01/26,11.925
2013/01/27,11.861
2013/01/28,11.944
2013/01/29,12.023
2013/01/30,12.328
2013/01/31,12.339
2013/02/01,12.306
2013/02/02,12.324
2013/02/03,12.281
2013/02/04,12.258
2013/02/05,12.579
2013/02/06,13.004
2013/02/07,12.775
2013/02/08,12.738
2013/02/09,12.769
2013/02/10,12.76
2013/02/11,12.736
2013/02/12,12.716
2013/02/13,12.651
2013/02/14,12.696
2013/02/15,12.682
2013/02/16,12.635
2013/02/17,12.562
2013/02/18,12.528
2013/02/19,12.408
2013/02/20,12.362
2013/02/21,12.272
2013/02/22,12.256
2013/02/23,12.194
2013/02/24,12.161
2013/02/25,12.021
2013/02/26,12.02
2013/02/27,11.918
2013/02/28,11.901
2013/03/01,11.862
2013/03/02,11.854
2013/03/03,11.617
2013/03/04,11.615
2013/03/05,11.812
2013/03/06,10.72
2013/03/07,10.834
2013/03/08,11.011
2013/03/09,11.065
2013/03/10,11.085
2013/03/11,11.195
2013/03/12,11.624
2013/03/13,11.892
2013/03/14,12.031
2013/03/15,12.093
2013/03/16,12.972
2013/03/17,13.557
2013/03/18,15.418
2013/03/19,17.574
2013/03/20,19.136
2013/03/21,19.936
2013/03/22,20.869
2013/03/23,21.124
2013/03/24,21.432
2013/03/25,22.059
2013/03/26,23.897
2013/03/27,25.105
2013/03/28,26.053
