Date,sentbyaddress3sma
2013/02/23,39261
2013/02/24,39601
2013/02/25,39627
2013/02/26,40781
2013/02/27,40564
2013/02/28,40569
2013/03/01,41364
2013/03/02,39548
2013/03/03,36368
2013/03/04,33748
2013/03/05,36108
2013/03/06,41249
2013/03/07,43847
2013/03/08,43646
2013/03/09,39759
2013/03/10,38062
2013/03/11,36712
2013/03/12,38136
2013/03/13,39750
2013/03/14,41721
2013/03/15,43835
2013/03/16,40182
2013/03/17,37742
2013/03/18,36141
2013/03/19,40464
2013/03/20,43275
2013/03/21,44691
2013/03/22,46128
2013/03/23,46228
2013/03/24,47679
2013/03/25,45866
2013/03/26,47760
2013/03/27,48205
2013/03/28,51873
2013/03/29,54811
2013/03/30,55151
2013/03/31,49555
2013/04/01,46672
2013/04/02,50189
2013/04/03,60086
2013/04/04,67734
2013/04/05,70079
2013/04/06,64375
2013/04/07,57618
2013/04/08,56779
2013/04/09,64305
2013/04/10,75070
2013/04/11,78245
2013/04/12,75188
2013/04/13,65540
2013/04/14,55072
2013/04/15,52916
2013/04/16,57012
2013/04/17,62501
2013/04/18,61000
2013/04/19,61072
2013/04/20,57049
2013/04/21,54208
2013/04/22,49770
2013/04/23,54465
2013/04/24,60263
2013/04/25,63144
2013/04/26,61481
2013/04/27,55755
2013/04/28,49965
2013/04/29,48639
2013/04/30,48011
2013/05/01,50949
2013/05/02,50248
2013/05/03,51870
2013/05/04,47686
2013/05/05,44888
2013/05/06,45174
2013/05/07,50635
2013/05/08,54558
2013/05/09,56836
2013/05/10,56237
2013/05/11,55688
2013/05/12,52173
2013/05/13,50863
2013/05/14,51481
2013/05/15,54738
2013/05/16,55722
2013/05/17,53974
2013/05/18,50146
2013/05/19,45670
2013/05/20,44338
2013/05/21,47734
2013/05/22,50399
2013/05/23,53969
2013/05/24,54057
2013/05/25,51903
2013/05/26,46285
2013/05/27,43231
2013/05/28,45682
2013/05/29,50177
2013/05/30,52164
2013/05/31,52372
2013/06/01,49379
2013/06/02,45861
2013/06/03,45474
2013/06/04,47862
2013/06/05,50386
2013/06/06,50565
2013/06/07,50289
2013/06/08,46960
2013/06/09,42458
2013/06/10,39393
2013/06/11,41570
2013/06/12,43649
2013/06/13,45004
2013/06/14,48469
2013/06/15,46473
2013/06/16,42406
2013/06/17,37501
2013/06/18,40011
2013/06/19,44889
2013/06/20,46863
2013/06/21,48274
2013/06/22,45387
2013/06/23,41169
2013/06/24,39693
2013/06/25,40915
2013/06/26,44518
2013/06/27,44105
2013/06/28,46144
2013/06/29,44073
2013/06/30,41018
2013/07/01,40488
2013/07/02,42500
2013/07/03,46623
2013/07/04,44580
2013/07/05,43792
2013/07/06,39902
2013/07/07,36153
2013/07/08,37011
2013/07/09,41232
2013/07/10,46450
2013/07/11,49694
2013/07/12,53890
2013/07/13,52695
2013/07/14,45036
2013/07/15,38808
2013/07/16,40620
2013/07/17,45199
2013/07/18,46381
2013/07/19,44776
2013/07/20,40535
2013/07/21,37433
2013/07/22,37354
2013/07/23,41703
2013/07/24,45224
2013/07/25,46527
2013/07/26,46093
2013/07/27,42598
2013/07/28,38440
2013/07/29,39594
2013/07/30,44891
2013/07/31,53106
2013/08/01,57974
2013/08/02,60223
2013/08/03,55115
2013/08/04,47786
2013/08/05,46654
2013/08/06,50141
2013/08/07,55128
2013/08/08,54662
2013/08/09,52426
2013/08/10,49008
2013/08/11,43622
2013/08/12,54457
2013/08/13,56515
2013/08/14,62461
2013/08/15,53829
2013/08/16,57130
2013/08/17,53576
2013/08/18,48954
2013/08/19,48815
2013/08/20,53197
2013/08/21,59172
2013/08/22,59487
2013/08/23,57960
2013/08/24,53113
2013/08/25,45669
2013/08/26,45401
2013/08/27,50717
2013/08/28,57596
2013/08/29,57970
2013/08/30,59149
2013/08/31,58463
2013/09/01,52281
2013/09/02,44316
2013/09/03,39747
2013/09/04,44394
2013/09/05,47083
2013/09/06,47678
2013/09/07,44707
2013/09/08,40268
2013/09/09,39611
2013/09/10,40640
2013/09/11,45490
2013/09/12,47264
2013/09/13,47933
2013/09/14,43139
2013/09/15,37627
2013/09/16,37688
2013/09/17,42329
2013/09/18,48183
2013/09/19,50457
2013/09/20,50693
2013/09/21,47396
2013/09/22,42220
2013/09/23,42754
2013/09/24,46163
2013/09/25,49790
2013/09/26,49867
2013/09/27,49262
2013/09/28,47294
2013/09/29,43907
2013/09/30,44446
2013/10/01,49575
2013/10/02,55912
2013/10/03,55325
2013/10/04,51601
2013/10/05,43933
2013/10/06,39422
2013/10/07,39334
2013/10/08,43109
2013/10/09,48141
2013/10/10,50067
2013/10/11,50423
2013/10/12,47320
2013/10/13,44084
2013/10/14,44531
2013/10/15,48485
2013/10/16,53380
2013/10/17,52665
2013/10/18,52362
2013/10/19,51262
2013/10/20,48796
2013/10/21,49190
2013/10/22,50713
2013/10/23,56989
2013/10/24,62197
2013/10/25,63567
2013/10/26,58315
2013/10/27,48652
2013/10/28,45470
2013/10/29,48587
2013/10/30,54769
2013/10/31,57064
2013/11/01,57531
2013/11/02,54106
2013/11/03,50852
2013/11/04,54089
2013/11/05,63361
2013/11/06,72160
2013/11/07,79688
2013/11/08,81816
2013/11/09,82754
2013/11/10,76897
2013/11/11,70602
2013/11/12,68591
2013/11/13,71253
2013/11/14,78699
2013/11/15,80585
2013/11/16,76593
2013/11/17,70474
2013/11/18,81490
2013/11/19,104062
2013/11/20,116912
2013/11/21,112641
2013/11/22,102972
2013/11/23,100783
2013/11/24,93766
2013/11/25,90015
2013/11/26,96385
2013/11/27,115211
2013/11/28,128399
2013/11/29,129466
2013/11/30,118437
2013/12/01,108318
2013/12/02,102779
2013/12/03,106439
2013/12/04,111158
2013/12/05,116406
2013/12/06,113752
2013/12/07,106530
2013/12/08,88783
2013/12/09,85500
2013/12/10,85290
2013/12/11,94009
2013/12/12,90202
2013/12/13,88480
2013/12/14,84924
2013/12/15,83553
2013/12/16,87458
2013/12/17,92895
2013/12/18,105507
2013/12/19,105009
2013/12/20,101127
2013/12/21,88365
2013/12/22,79205
2013/12/23,75846
2013/12/24,77800
2013/12/25,82422
2013/12/26,82478
2013/12/27,81146
2013/12/28,75953
2013/12/29,72194
2013/12/30,74129
2013/12/31,75442
2014/01/01,73505
2014/01/02,73204
2014/01/03,79057
2014/01/04,83286
2014/01/05,83319
2014/01/06,85914
2014/01/07,89727
2014/01/08,89367
2014/01/09,84265
2014/01/10,82139
2014/01/11,80468
2014/01/12,75754
2014/01/13,75396
2014/01/14,75257
2014/01/15,79712
2014/01/16,78994
2014/01/17,78841
2014/01/18,73562
2014/01/19,71322
2014/01/20,77472
2014/01/21,89445
2014/01/22,98262
2014/01/23,95342
2014/01/24,90641
2014/01/25,84032
2014/01/26,81195
2014/01/27,82826
2014/01/28,90662
2014/01/29,93565
2014/01/30,93788
2014/01/31,92883
2014/02/01,93209
2014/02/02,89927
2014/02/03,90172
2014/02/04,97528
2014/02/05,102719
2014/02/06,105928
2014/02/07,105801
2014/02/08,104253
2014/02/09,95165
2014/02/10,90345
2014/02/11,90482
2014/02/12,94046
2014/02/13,94534
2014/02/14,98172
2014/02/15,100507
2014/02/16,93776
2014/02/17,88145
2014/02/18,88515
2014/02/19,102692
2014/02/20,114063
2014/02/21,122776
2014/02/22,117099
2014/02/23,113311
2014/02/24,117327
2014/02/25,132115
2014/02/26,139158
2014/02/27,132816
2014/02/28,121574
2014/03/01,116898
2014/03/02,111460
2014/03/03,122841
2014/03/04,135094
2014/03/05,146831
2014/03/06,141171
2014/03/07,130328
2014/03/08,124502
2014/03/09,118662
2014/03/10,115478
2014/03/11,115522
2014/03/12,121481
2014/03/13,125043
2014/03/14,120078
