Date,size14std
2014/01/03,48267
2014/01/04,49008
2014/01/05,48900
2014/01/06,51992
2014/01/07,52009
2014/01/08,52426
2014/01/09,54472
2014/01/10,54420
2014/01/11,56062
2014/01/12,59385
2014/01/13,59034
2014/01/14,58498
2014/01/15,48567
2014/01/16,41852
2014/01/17,40504
2014/01/18,39879
2014/01/19,40871
2014/01/20,36000
2014/01/21,47477
2014/01/22,47738
2014/01/23,47703
2014/01/24,46620
2014/01/25,44224
2014/01/26,37533
2014/01/27,38098
2014/01/28,43745
2014/01/29,43592
2014/01/30,42321
2014/01/31,42436
2014/02/01,40942
2014/02/02,37550
2014/02/03,37488
2014/02/04,37838
2014/02/05,42863
2014/02/06,44968
2014/02/07,53559
2014/02/08,51889
2014/02/09,52051
2014/02/10,52515
2014/02/11,51429
2014/02/12,58873
2014/02/13,57904
2014/02/14,55552
2014/02/15,49090
2014/02/16,53156
2014/02/17,51199
2014/02/18,51525
2014/02/19,51225
2014/02/20,51992
2014/02/21,54194
2014/02/22,54444
2014/02/23,54444
2014/02/24,54980
2014/02/25,64947
2014/02/26,62984
2014/02/27,63145
2014/02/28,63906
2014/03/01,64234
2014/03/02,48214
2014/03/03,70985
2014/03/04,93478
2014/03/05,92237
2014/03/06,91226
2014/03/07,91255
2014/03/08,86523
2014/03/09,88270
2014/03/10,87530
2014/03/11,86605
2014/03/12,86171
2014/03/13,81840
2014/03/14,83911
2014/03/15,93286
2014/03/16,104431
2014/03/17,96975
2014/03/18,81226
2014/03/19,76299
2014/03/20,75948
2014/03/21,75074
2014/03/22,75124
2014/03/23,85558
2014/03/24,80088
2014/03/25,79571
2014/03/26,79905
2014/03/27,78020
2014/03/28,61172
2014/03/29,63105
2014/03/30,59010
2014/03/31,59062
2014/04/01,54709
2014/04/02,55830
2014/04/03,59792
2014/04/04,59159
2014/04/05,57115
2014/04/06,45326
2014/04/07,48098
2014/04/08,61066
2014/04/09,61076
2014/04/10,63116
2014/04/11,63168
2014/04/12,63793
2014/04/13,69457
2014/04/14,69425
2014/04/15,70845
2014/04/16,75261
2014/04/17,70798
2014/04/18,70094
2014/04/19,69926
2014/04/20,75447
2014/04/21,76082
2014/04/22,74838
2014/04/23,74668
2014/04/24,79217
2014/04/25,79273
2014/04/26,77621
2014/04/27,74124
