Date,sentbyaddress3std
2012/11/23,6476
2012/11/24,5110
2012/11/25,1569
2012/11/26,3398
2012/11/27,3036
2012/11/28,2667
2012/11/29,2683
2012/11/30,4073
2012/12/01,3626
2012/12/02,5486
2012/12/03,4124
2012/12/04,7006
2012/12/05,7207
2012/12/06,2105
2012/12/07,983.897
2012/12/08,841.025
2012/12/09,1368
2012/12/10,3146
2012/12/11,2643
2012/12/12,4338
2012/12/13,4573
2012/12/14,2792
2012/12/15,5722
2012/12/16,3886
2012/12/17,4949
2012/12/18,8404
2012/12/19,4938
2012/12/20,7557
2012/12/21,4651
2012/12/22,11305
2012/12/23,11565
2012/12/24,13638
2012/12/25,4276
2012/12/26,3757
2012/12/27,3001
2012/12/28,7007
2012/12/29,4700
2012/12/30,6425
2012/12/31,8198
2013/01/01,8446
2013/01/02,5744
2013/01/03,9823
2013/01/04,5216
2013/01/05,2939
2013/01/06,6586
2013/01/07,7004
2013/01/08,6079
2013/01/09,1930
2013/01/10,5097
2013/01/11,5695
2013/01/12,8781
2013/01/13,8639
2013/01/14,5740
2013/01/15,8818
2013/01/16,10632
2013/01/17,2398
2013/01/18,2694
2013/01/19,5144
2013/01/20,6617
2013/01/21,3266
2013/01/22,3998
2013/01/23,4023
2013/01/24,2623
2013/01/25,2721
2013/01/26,1550
2013/01/27,1765
2013/01/28,1254
2013/01/29,1083
2013/01/30,5616
2013/01/31,5181
2013/02/01,12656
2013/02/02,9640
2013/02/03,5969
2013/02/04,1017
2013/02/05,4958
2013/02/06,5694
2013/02/07,5141
2013/02/08,3380
2013/02/09,3321
2013/02/10,3167
2013/02/11,3823
2013/02/12,3925
2013/02/13,954.673
2013/02/14,2182
2013/02/15,1835
2013/02/16,3188
2013/02/17,2983
2013/02/18,2505
2013/02/19,2535
2013/02/20,925.339
2013/02/21,1571
2013/02/22,3277
2013/02/23,2009
2013/02/24,1519
2013/02/25,1592
2013/02/26,2461
2013/02/27,2999
2013/02/28,3000
2013/03/01,5017
2013/03/02,9533
2013/03/03,11898
2013/03/04,4671
2013/03/05,7495
2013/03/06,8100
2013/03/07,5289
2013/03/08,5835
2013/03/09,7902
2013/03/10,4390
2013/03/11,4045
2013/03/12,3552
2013/03/13,7188
2013/03/14,4219
2013/03/15,3380
2013/03/16,10101
2013/03/17,11093
2013/03/18,6577
2013/03/19,9948
2013/03/20,4677
2013/03/21,3088
2013/03/22,6756
2013/03/23,6552
2013/03/24,6763
2013/03/25,5303
2013/03/26,3576
2013/03/27,4483
2013/03/28,6444
2013/03/29,5887
2013/03/30,4942
2013/03/31,14993
2013/04/01,10442
2013/04/02,18713
2013/04/03,16914
2013/04/04,8001
2013/04/05,2370
2013/04/06,17527
2013/04/07,16542
2013/04/08,14170
2013/04/09,19233
2013/04/10,13880
2013/04/11,7941
2013/04/12,15034
2013/04/13,17545
2013/04/14,16783
2013/04/15,11812
2013/04/16,18345
2013/04/17,6817
2013/04/18,10322
2013/04/19,10493
2013/04/20,15151
2013/04/21,18766
2013/04/22,6605
2013/04/23,14243
2013/04/24,8825
2013/04/25,676.939
2013/04/26,4383
2013/04/27,13964
2013/04/28,11963
2013/04/29,8223
2013/04/30,9113
2013/05/01,9394
2013/05/02,8524
2013/05/03,4079
2013/05/04,9045
2013/05/05,6366
2013/05/06,7140
2013/05/07,11468
2013/05/08,6656
2013/05/09,1828
2013/05/10,958.65
2013/05/11,2384
2013/05/12,8450
2013/05/13,6597
2013/05/14,7895
2013/05/15,3573
2013/05/16,801.453
2013/05/17,4744
2013/05/18,8651
2013/05/19,7439
2013/05/20,4040
2013/05/21,10770
2013/05/22,6708
2013/05/23,6348
2013/05/24,6399
2013/05/25,12352
2013/05/26,12614
2013/05/27,4392
2013/05/28,8255
2013/05/29,6650
2013/05/30,2796
2013/05/31,2367
2013/06/01,6174
2013/06/02,8201
2013/06/03,7194
2013/06/04,9428
2013/06/05,2741
2013/06/06,2709
2013/06/07,2087
2013/06/08,11428
2013/06/09,12684
2013/06/10,4191
2013/06/11,6837
2013/06/12,2686
2013/06/13,2429
2013/06/14,10655
2013/06/15,15070
2013/06/16,19160
2013/06/17,5772
2013/06/18,8999
2013/06/19,6180
2013/06/20,3091
2013/06/21,1806
2013/06/22,7796
2013/06/23,12161
2013/06/24,8446
2013/06/25,9295
2013/06/26,1252
2013/06/27,1528
2013/06/28,5349
2013/06/29,8884
2013/06/30,12984
2013/07/01,11558
2013/07/02,11894
2013/07/03,2614
2013/07/04,3792
2013/07/05,4086
2013/07/06,6957
2013/07/07,9779
2013/07/08,12085
2013/07/09,14847
2013/07/10,1998
2013/07/11,7486
2013/07/12,11334
2013/07/13,14514
2013/07/14,23285
2013/07/15,9737
2013/07/16,13431
2013/07/17,5579
2013/07/18,2806
2013/07/19,1844
2013/07/20,10760
2013/07/21,8908
2013/07/22,8691
2013/07/23,8645
2013/07/24,2763
2013/07/25,973.086
2013/07/26,2043
2013/07/27,9713
2013/07/28,8944
2013/07/29,12195
2013/07/30,14686
2013/07/31,9312
2013/08/01,9215
2013/08/02,3705
2013/08/03,16055
2013/08/04,15398
2013/08/05,12254
2013/08/06,13206
2013/08/07,1039
2013/08/08,1692
2013/08/09,6765
2013/08/10,6914
2013/08/11,8774
2013/08/12,37116
2013/08/13,35556
2013/08/14,25405
2013/08/15,3132
2013/08/16,6364
2013/08/17,13816
2013/08/18,18200
2013/08/19,17814
2013/08/20,18106
2013/08/21,2874
2013/08/22,3755
2013/08/23,7241
2013/08/24,14862
2013/08/25,11302
2013/08/26,10582
2013/08/27,16587
2013/08/28,7231
2013/08/29,6177
2013/08/30,8197
2013/08/31,7997
2013/09/01,24686
2013/09/02,20200
2013/09/03,7837
2013/09/04,7768
2013/09/05,3622
2013/09/06,2100
2013/09/07,6581
2013/09/08,9955
2013/09/09,8371
2013/09/10,9086
2013/09/11,4809
2013/09/12,5823
2013/09/13,3956
2013/09/14,12884
2013/09/15,10745
2013/09/16,10916
2013/09/17,13050
2013/09/18,4454
2013/09/19,3186
2013/09/20,2570
2013/09/21,9493
2013/09/22,10279
2013/09/23,11713
2013/09/24,13434
2013/09/25,3194
2013/09/26,3284
2013/09/27,2732
2013/09/28,8085
2013/09/29,7723
2013/09/30,9244
2013/10/01,13456
2013/10/02,7341
2013/10/03,8938
2013/10/04,11827
2013/10/05,10538
2013/10/06,9152
2013/10/07,8905
2013/10/08,10714
2013/10/09,4218
2013/10/10,2885
2013/10/11,1902
2013/10/12,8494
2013/10/13,7131
2013/10/14,8395
2013/10/15,9913
2013/10/16,4811
2013/10/17,6628
2013/10/18,6563
2013/10/19,4196
2013/10/20,11149
2013/10/21,11700
2013/10/22,14233
2013/10/23,5112
2013/10/24,10072
2013/10/25,8147
2013/10/26,21152
2013/10/27,18759
2013/10/28,9992
2013/10/29,11863
2013/10/30,5738
2013/10/31,5267
2013/11/01,3950
2013/11/02,8685
2013/11/03,5543
2013/11/04,14672
2013/11/05,22096
2013/11/06,10910
2013/11/07,10405
2013/11/08,9329
2013/11/09,6948
2013/11/10,11045
2013/11/11,12123
2013/11/12,7198
2013/11/13,11276
