Date,mining_profitability30var
2012/11/16,106066
2012/11/17,89499
2012/11/18,89662
2012/11/19,71756
2012/11/20,67001
2012/11/21,60565
2012/11/22,60408
2012/11/23,60155
2012/11/24,58331
2012/11/25,57105
2012/11/26,58805
2012/11/27,58926
2012/11/28,60214
2012/11/29,142494
2012/11/30,233562
2012/12/01,282632
2012/12/02,359305
2012/12/03,418744
2012/12/04,488219
2012/12/05,518796
2012/12/06,551978
2012/12/07,576436
2012/12/08,608028
2012/12/09,633545
2012/12/10,651109
2012/12/11,658108
2012/12/12,683208
2012/12/13,679844
2012/12/14,694412
2012/12/15,690823
2012/12/16,674154
2012/12/17,654212
2012/12/18,643994
2012/12/19,581793
2012/12/20,560328
2012/12/21,510433
2012/12/22,473249
2012/12/23,363538
2012/12/24,308023
2012/12/25,233601
2012/12/26,156921
2012/12/27,84160
2012/12/28,41905
2012/12/29,40979
2012/12/30,44467
2012/12/31,44576
2013/01/01,41950
2013/01/02,41151
2013/01/03,36915
2013/01/04,37750
2013/01/05,37653
2013/01/06,38437
2013/01/07,41064
2013/01/08,42466
2013/01/09,42469
2013/01/10,43116
2013/01/11,42033
2013/01/12,42567
2013/01/13,40356
2013/01/14,41804
2013/01/15,41485
2013/01/16,42726
2013/01/17,42101
2013/01/18,44795
2013/01/19,49364
2013/01/20,49423
2013/01/21,49247
2013/01/22,46738
2013/01/23,48337
2013/01/24,68416
2013/01/25,72854
2013/01/26,100394
2013/01/27,110272
2013/01/28,118570
2013/01/29,145223
2013/01/30,161850
2013/01/31,210716
2013/02/01,215876
2013/02/02,230086
2013/02/03,289414
2013/02/04,286420
2013/02/05,290993
2013/02/06,291603
2013/02/07,280110
2013/02/08,277921
2013/02/09,282542
2013/02/10,279170
2013/02/11,277566
2013/02/12,274928
2013/02/13,309430
2013/02/14,273009
2013/02/15,306045
2013/02/16,288552
2013/02/17,287983
2013/02/18,275563
2013/02/19,249155
2013/02/20,249702
2013/02/21,237533
2013/02/22,220921
2013/02/23,219916
2013/02/24,196268
2013/02/25,217239
2013/02/26,201086
2013/02/27,191349
2013/02/28,190717
2013/03/01,185392
2013/03/02,185284
2013/03/03,166430
2013/03/04,157126
2013/03/05,156621
2013/03/06,160493
2013/03/07,184549
2013/03/08,175158
2013/03/09,206961
2013/03/10,237697
2013/03/11,239019
2013/03/12,268405
2013/03/13,272812
2013/03/14,270749
2013/03/15,271446
2013/03/16,257654
2013/03/17,268497
2013/03/18,269426
2013/03/19,272482
2013/03/20,418715
2013/03/21,548373
2013/03/22,722542
2013/03/23,810021
2013/03/24,800183
2013/03/25,770821
2013/03/26,741168
2013/03/27,757826
2013/03/28,912148
2013/03/29,946835
2013/03/30,975031
2013/03/31,1023990
2013/04/01,1048771
2013/04/02,1177343
2013/04/03,1426075
2013/04/04,1574429
2013/04/05,2035077
2013/04/06,2248623
2013/04/07,2498776
2013/04/08,2893644
2013/04/09,4316562
2013/04/10,5132843
2013/04/11,5018022
2013/04/12,4890942
2013/04/13,4734797
2013/04/14,4552780
2013/04/15,4406319
2013/04/16,4406656
2013/04/17,4345632
2013/04/18,4342954
2013/04/19,4376977
2013/04/20,4370125
2013/04/21,4381589
2013/04/22,4417617
2013/04/23,4262260
2013/04/24,4048582
2013/04/25,3951992
2013/04/26,3851778
2013/04/27,3892969
2013/04/28,3855075
2013/04/29,3826482
2013/04/30,3861388
2013/05/01,3907374
2013/05/02,4054080
2013/05/03,4167999
2013/05/04,4181495
2013/05/05,3951001
2013/05/06,3918503
2013/05/07,3774493
2013/05/08,3470622
2013/05/09,1981349
2013/05/10,802776
2013/05/11,779028
2013/05/12,808865
2013/05/13,831046
2013/05/14,894258
2013/05/15,963581
2013/05/16,960369
2013/05/17,946749
2013/05/18,925107
2013/05/19,963144
2013/05/20,987983
2013/05/21,973775
2013/05/22,987390
2013/05/23,938337
2013/05/24,845524
2013/05/25,578853
2013/05/26,494678
2013/05/27,470995
2013/05/28,304703
2013/05/29,194929
2013/05/30,162949
2013/05/31,134125
2013/06/01,142881
2013/06/02,146588
2013/06/03,144051
2013/06/04,115746
2013/06/05,167134
2013/06/06,228411
2013/06/07,296130
2013/06/08,347441
2013/06/09,452048
2013/06/10,506363
2013/06/11,551352
2013/06/12,592630
2013/06/13,672703
2013/06/14,732352
2013/06/15,807237
2013/06/16,865863
2013/06/17,1016333
2013/06/18,1131844
2013/06/19,1196750
2013/06/20,1207292
2013/06/21,1229794
2013/06/22,1207909
2013/06/23,1207597
2013/06/24,1181347
2013/06/25,1163438
2013/06/26,1115443
2013/06/27,1068705
2013/06/28,1012121
2013/06/29,911388
2013/06/30,878351
2013/07/01,698917
2013/07/02,643026
2013/07/03,513553
2013/07/04,396290
2013/07/05,382051
2013/07/06,385243
2013/07/07,389819
2013/07/08,363173
2013/07/09,379222
2013/07/10,367646
2013/07/11,346785
2013/07/12,318243
2013/07/13,297349
2013/07/14,263241
2013/07/15,240794
2013/07/16,213165
2013/07/17,213456
2013/07/18,217354
2013/07/19,195894
2013/07/20,175020
2013/07/21,144619
2013/07/22,135371
2013/07/23,135968
2013/07/24,123270
2013/07/25,110483
2013/07/26,93661
2013/07/27,67569
2013/07/28,57458
2013/07/29,45021
2013/07/30,41864
2013/07/31,37253
2013/08/01,35395
2013/08/02,27190
2013/08/03,29916
2013/08/04,29552
2013/08/05,32009
2013/08/06,33209
2013/08/07,33268
2013/08/08,33450
2013/08/09,32494
2013/08/10,33332
2013/08/11,34986
2013/08/12,33012
2013/08/13,34260
2013/08/14,40175
2013/08/15,43660
2013/08/16,41132
2013/08/17,44574
2013/08/18,45823
2013/08/19,47008
2013/08/20,42952
2013/08/21,45017
2013/08/22,45606
2013/08/23,45701
2013/08/24,48791
2013/08/25,53406
2013/08/26,53312
2013/08/27,55946
2013/08/28,50861
2013/08/29,46392
2013/08/30,41940
2013/08/31,38558
2013/09/01,30348
2013/09/02,29573
2013/09/03,27033
2013/09/04,29976
2013/09/05,28951
2013/09/06,29404
2013/09/07,28589
2013/09/08,29229
2013/09/09,24813
2013/09/10,22491
2013/09/11,19619
2013/09/12,18416
2013/09/13,19111
2013/09/14,19152
2013/09/15,22936
2013/09/16,26001
2013/09/17,26338
2013/09/18,27093
2013/09/19,27093
2013/09/20,26651
2013/09/21,23683
2013/09/22,23393
2013/09/23,23566
2013/09/24,24459
2013/09/25,25489
2013/09/26,28315
2013/09/27,27474
2013/09/28,27575
2013/09/29,26589
2013/09/30,23337
2013/10/01,21343
2013/10/02,18509
2013/10/03,15037
2013/10/04,15829
2013/10/05,15198
2013/10/06,16166
2013/10/07,17605
2013/10/08,17851
2013/10/09,16824
2013/10/10,16309
2013/10/11,14908
2013/10/12,13071
2013/10/13,11417
2013/10/14,8806
2013/10/15,8806
2013/10/16,9437
2013/10/17,8956
2013/10/18,8004
2013/10/19,7474
2013/10/20,6768
2013/10/21,6090
2013/10/22,5082
2013/10/23,4137
2013/10/24,3001
2013/10/25,2496
2013/10/26,3274
2013/10/27,3377
2013/10/28,3389
2013/10/29,3456
2013/10/30,3291
2013/10/31,3063
2013/11/01,2834
2013/11/02,2902
2013/11/03,2829
2013/11/04,2148
2013/11/05,2146
2013/11/06,2210
2013/11/07,2236
2013/11/08,2200
2013/11/09,2259
2013/11/10,2222
2013/11/11,2048
2013/11/12,2095
2013/11/13,1961
2013/11/14,2318
2013/11/15,2752
2013/11/16,3117
2013/11/17,3488
2013/11/18,3937
2013/11/19,5385
2013/11/20,5663
2013/11/21,6479
2013/11/22,8842
2013/11/23,11273
2013/11/24,13169
2013/11/25,14216
2013/11/26,15450
2013/11/27,20505
2013/11/28,24628
2013/11/29,27147
2013/11/30,31128
2013/12/01,31326
2013/12/02,30201
2013/12/03,31645
2013/12/04,31182
2013/12/05,30669
2013/12/06,29393
2013/12/07,26746
2013/12/08,24636
2013/12/09,23440
2013/12/10,21390
2013/12/11,19391
2013/12/12,18111
2013/12/13,16157
2013/12/14,15433
2013/12/15,15255
2013/12/16,14779
2013/12/17,15199
2013/12/18,17014
2013/12/19,18611
2013/12/20,19944
2013/12/21,22331
2013/12/22,24847
2013/12/23,27130
2013/12/24,29213
2013/12/25,31158
2013/12/26,32111
2013/12/27,30237
2013/12/28,28685
2013/12/29,27114
2013/12/30,23307
2013/12/31,22330
2014/01/01,21800
2014/01/02,18723
2014/01/03,16521
2014/01/04,13744
2014/01/05,10030
2014/01/06,9517
2014/01/07,8484
2014/01/08,7394
2014/01/09,5383
2014/01/10,4807
2014/01/11,4279
2014/01/12,3357
2014/01/13,2547
2014/01/14,2321
2014/01/15,1536
2014/01/16,1511
2014/01/17,1791
2014/01/18,1732
2014/01/19,1839
2014/01/20,1849
2014/01/21,2011
2014/01/22,2042
2014/01/23,2175
2014/01/24,2344
2014/01/25,2534
2014/01/26,2694
2014/01/27,2807
2014/01/28,3012
2014/01/29,3126
2014/01/30,3038
2014/01/31,2869
2014/02/01,2972
2014/02/02,2960
2014/02/03,3098
2014/02/04,2718
2014/02/05,2525
2014/02/06,2437
2014/02/07,2496
2014/02/08,2267
2014/02/09,2480
2014/02/10,2127
