Date,hashrate14rsi
2013/08/17,72.82
2013/08/18,74.404
2013/08/19,69.608
2013/08/20,69.824
2013/08/21,74.162
2013/08/22,74.802
2013/08/23,77.45
2013/08/24,74.221
2013/08/25,70.659
2013/08/26,71.852
2013/08/27,74.084
2013/08/28,75.015
2013/08/29,80.641
2013/08/30,82.161
2013/08/31,84.048
2013/09/01,87.297
2013/09/02,80.757
2013/09/03,63.424
2013/09/04,71.819
2013/09/05,68.794
2013/09/06,72.372
2013/09/07,61.744
2013/09/08,57.327
2013/09/09,65.55
2013/09/10,68.006
2013/09/11,66.947
2013/09/12,71.144
2013/09/13,68.821
2013/09/14,70.277
2013/09/15,78.016
2013/09/16,64.446
2013/09/17,61.989
2013/09/18,56.738
2013/09/19,65.441
2013/09/20,65.597
2013/09/21,65.526
2013/09/22,67.939
2013/09/23,70.414
2013/09/24,69.268
2013/09/25,73.739
2013/09/26,75.971
2013/09/27,67.233
2013/09/28,64.81
2013/09/29,66.944
2013/09/30,60.382
2013/10/01,66.594
2013/10/02,63.221
2013/10/03,69.067
2013/10/04,63.198
2013/10/05,65.308
2013/10/06,72.256
2013/10/07,61.493
2013/10/08,60.88
2013/10/09,66.48
2013/10/10,66.931
2013/10/11,67.706
2013/10/12,69.756
2013/10/13,75.908
2013/10/14,78.187
2013/10/15,79.973
2013/10/16,82.671
2013/10/17,72.321
2013/10/18,70.196
2013/10/19,77.614
2013/10/20,73.992
2013/10/21,74.28
2013/10/22,78.56
2013/10/23,71.622
2013/10/24,69.55
2013/10/25,72.591
2013/10/26,81.494
2013/10/27,65.667
2013/10/28,67.407
2013/10/29,60.04
2013/10/30,64.335
2013/10/31,68.636
2013/11/01,65.727
2013/11/02,68.738
2013/11/03,62.857
2013/11/04,62.952
2013/11/05,59.692
2013/11/06,65.215
2013/11/07,63.026
2013/11/08,54.074
2013/11/09,53.362
2013/11/10,60.604
2013/11/11,67.148
2013/11/12,67.87
2013/11/13,66.919
2013/11/14,59.365
2013/11/15,56.514
2013/11/16,63.342
2013/11/17,65.75
2013/11/18,64.712
2013/11/19,57.992
2013/11/20,61.054
2013/11/21,57
2013/11/22,59.039
2013/11/23,62.072
2013/11/24,60.065
2013/11/25,62.295
2013/11/26,62.479
2013/11/27,54.98
2013/11/28,61.071
2013/11/29,64.977
2013/11/30,61.965
2013/12/01,71.215
2013/12/02,62.664
2013/12/03,63.118
2013/12/04,64.824
2013/12/05,58.194
2013/12/06,63.532
2013/12/07,66.187
2013/12/08,59.534
2013/12/09,62.633
2013/12/10,65.697
2013/12/11,66.509
2013/12/12,66.631
2013/12/13,67.179
2013/12/14,70.809
2013/12/15,73.679
2013/12/16,68.678
2013/12/17,72.905
2013/12/18,73.599
2013/12/19,76.881
2013/12/20,69.846
2013/12/21,61.049
2013/12/22,66.443
2013/12/23,68.53
2013/12/24,68.922
2013/12/25,66.671
2013/12/26,67.718
2013/12/27,71.106
2013/12/28,62.349
2013/12/29,56.107
2013/12/30,63.381
2013/12/31,64.387
2014/01/01,68.268
2014/01/02,70.14
