Date,hashrate7mom
2013/05/04,1703017272558
2013/05/05,4265564059399
2013/05/06,8021100537784
2013/05/07,4877050976955
2013/05/08,10447568930261
2013/05/09,12395979380577
2013/05/10,12979333544320
2013/05/11,12899553221068
2013/05/12,16074327405022
2013/05/13,8506760119279
2013/05/14,6703233738668
2013/05/15,-3745092842039
2013/05/16,-1872712655623
2013/05/17,2570382692922
2013/05/18,-5965888280348
2013/05/19,-1168393819295
2013/05/20,-16713137975892
2013/05/21,-12651951445807
2013/05/22,6709018657685
2013/05/23,9306520464339
2013/05/24,9099588998467
2013/05/25,13444186851953
2013/05/26,9245621977553
2013/05/27,25944986960932
2013/05/28,18104849588705
2013/05/29,12191136635384
2013/05/30,12935492349887
2013/05/31,14914058718247
2013/06/01,21096512725456
2013/06/02,27681254920485
2013/06/03,19601577281813
2013/06/04,28944551503063
2013/06/05,38398680320787
2013/06/06,39022924973012
2013/06/07,15003743464877
2013/06/08,15709079697154
2013/06/09,8401171880466
2013/06/10,11484833446983
2013/06/11,6049062927633
2013/06/12,11291549034394
2013/06/13,12554910176858
2013/06/14,11974965762213
2013/06/15,5838236320418
2013/06/16,11291014011722
2013/06/17,22657188229279
2013/06/18,12783415268266
2013/06/19,-28651304407246
2013/06/20,-11742378854338
2013/06/21,14580582486706
2013/06/22,31380007136570
2013/06/23,21410352567743
2013/06/24,-11652690989932
2013/06/25,4789257947294
2013/06/26,46409538477897
2013/06/27,10316367642873
2013/06/28,14260972957808
2013/06/29,-3495105995433
2013/06/30,7149142186569
2013/07/01,19422699860213
2013/07/02,17621817158344
2013/07/03,10773420478315
2013/07/04,33046820674386
2013/07/05,20828599364562
2013/07/06,23535234448781
2013/07/07,31559846089153
2013/07/08,32833720910609
2013/07/09,37753574924761
2013/07/10,17963413523203
2013/07/11,54030217400793
2013/07/12,40771757524340
2013/07/13,1505817685167
2013/07/14,13136187108906
2013/07/15,17724205790008
2013/07/16,15388337587608
2013/07/17,19441140238478
