Date,price14emaUSD
2013/04/25,116.003
2013/04/26,118.262
2013/04/27,119.336
2013/04/28,119.964
2013/04/29,121.376
2013/04/30,123.122
2013/05/01,123.327
2013/05/02,121.69
2013/05/03,119.157
2013/05/04,117.275
2013/05/05,116.767
2013/05/06,116.265
2013/05/07,115.48
2013/05/08,114.695
2013/05/09,113.858
2013/05/10,113.416
2013/05/11,113.294
2013/05/12,113.086
2013/05/13,112.974
2013/05/14,112.395
2013/05/15,111.353
2013/05/16,110.772
2013/05/17,110.735
2013/05/18,111.012
2013/05/19,111.265
2013/05/20,111.523
2013/05/21,112.024
2013/05/22,112.645
2013/05/23,113.452
2013/05/24,114.939
2013/05/25,116.644
2013/05/26,118.258
2013/05/27,119.604
2013/05/28,120.42
2013/05/29,121.222
2013/05/30,122.025
2013/05/31,122.611
2013/06/01,123.184
2013/06/02,123.311
2013/06/03,122.914
2013/06/04,122.483
2013/06/05,122.165
2013/06/06,121.795
2013/06/07,120.891
2013/06/08,119.517
2013/06/09,117.706
2013/06/10,115.886
2013/06/11,114.642
2013/06/12,113.763
2013/06/13,112.854
2013/06/14,111.521
2013/06/15,110.018
2013/06/16,108.73
2013/06/17,107.678
2013/06/18,107.143
2013/06/19,106.871
2013/06/20,106.732
2013/06/21,106.644
2013/06/22,106.247
2013/06/23,105.638
2013/06/24,104.684
2013/06/25,103.692
2013/06/26,102.933
2013/06/27,102.089
2013/06/28,100.776
2013/06/29,99.243
2013/06/30,97.988
2013/07/01,96.337
2013/07/02,94.586
2013/07/03,92.831
2013/07/04,90.915
2013/07/05,88.529
2013/07/06,85.525
2013/07/07,83.422
2013/07/08,82.105
2013/07/09,80.824
2013/07/10,80.179
2013/07/11,80.355
2013/07/12,80.974
2013/07/13,81.924
2013/07/14,82.755
2013/07/15,83.627
2013/07/16,84.466
2013/07/17,85.041
2013/07/18,85.233
2013/07/19,85.047
2013/07/20,84.889
2013/07/21,84.755
2013/07/22,84.668
2013/07/23,84.744
2013/07/24,84.968
2013/07/25,85.356
2013/07/26,85.867
2013/07/27,86.219
2013/07/28,86.504
2013/07/29,87.135
2013/07/30,87.924
2013/07/31,89.001
2013/08/01,89.917
2013/08/02,90.661
2013/08/03,91.289
2013/08/04,91.724
2013/08/05,92.222
2013/08/06,92.845
2013/08/07,93.451
2013/08/08,93.782
2013/08/09,93.834
2013/08/10,93.774
2013/08/11,93.676
2013/08/12,93.718
2013/08/13,93.88
2013/08/14,94.202
2013/08/15,94.569
2013/08/16,94.832
2013/08/17,95.094
2013/08/18,95.338
2013/08/19,95.692
2013/08/20,96.413
2013/08/21,97.573
2013/08/22,98.869
2013/08/23,99.835
2013/08/24,100.63
2013/08/25,101.567
2013/08/26,102.518
2013/08/27,103.765
2013/08/28,105.301
2013/08/29,106.699
2013/08/30,108.252
2013/08/31,110.094
2013/09/01,112.035
2013/09/02,113.842
2013/09/03,115.311
2013/09/04,116.036
2013/09/05,116.21
2013/09/06,116.056
2013/09/07,115.918
2013/09/08,116.011
2013/09/09,116.255
2013/09/10,116.749
2013/09/11,117.414
2013/09/12,118.248
2013/09/13,119.024
2013/09/14,119.68
2013/09/15,120.215
2013/09/16,120.693
2013/09/17,121.168
2013/09/18,121.683
2013/09/19,121.796
2013/09/20,121.691
2013/09/21,121.613
2013/09/22,121.602
2013/09/23,121.56
2013/09/24,121.527
2013/09/25,121.609
2013/09/26,121.748
2013/09/27,121.831
2013/09/28,122.014
2013/09/29,122.188
2013/09/30,122.303
2013/10/01,122.446
2013/10/02,121.157
2013/10/03,119.47
2013/10/04,119.145
2013/10/05,119.167
2013/10/06,119.194
2013/10/07,119.355
2013/10/08,119.656
2013/10/09,120.088
2013/10/10,120.543
2013/10/11,120.982
2013/10/12,121.404
2013/10/13,122.126
2013/10/14,123.192
2013/10/15,124.731
2013/10/16,126.262
2013/10/17,127.921
2013/10/18,130.028
2013/10/19,133.209
2013/10/20,136.425
2013/10/21,140.21
2013/10/22,145.557
2013/10/23,151.673
2013/10/24,156.197
2013/10/25,157.967
2013/10/26,159.967
2013/10/27,162.429
2013/10/28,165.844
2013/10/29,169.482
2013/10/30,172.961
2013/10/31,175.997
2013/11/01,178.913
2013/11/02,181.671
2013/11/03,184.457
2013/11/04,188.37
2013/11/05,194.108
2013/11/06,201.331
2013/11/07,211.024
2013/11/08,222.636
2013/11/09,237.615
2013/11/10,244.852
2013/11/11,254.073
2013/11/12,265.081
2013/11/13,278.941
2013/11/14,295.215
2013/11/15,310.754
2013/11/16,325.099
2013/11/17,342.186
2013/11/18,369.961
2013/11/19,400.885
2013/11/20,413.389
2013/11/21,438.21
2013/11/22,469.797
2013/11/23,505.643
2013/11/24,531.897
2013/11/25,557.39
2013/11/26,589.29
2013/11/27,629.558
2013/11/28,670.222
2013/11/29,711.748
2013/11/30,757.153
2013/12/01,778.275
2013/12/02,796.892
2013/12/03,821.927
2013/12/04,850.574
2013/12/05,869.3
2013/12/06,875.562
2013/12/07,854.916
2013/12/08,838.734
2013/12/09,841.08
2013/12/10,851.179
2013/12/11,856.048
2013/12/12,855.724
2013/12/13,857.646
2013/12/14,857.264
2013/12/15,854.23
2013/12/16,843.588
2013/12/17,820.843
2013/12/18,785.334
2013/12/19,762.754
2013/12/20,749.524
2013/12/21,731.493
2013/12/22,718.603
2013/12/23,709.467
2013/12/24,704.302
2013/12/25,699.781
2013/12/26,703.87
2013/12/27,710.428
2013/12/28,714.121
2013/12/29,716.206
2013/12/30,722.141
2013/12/31,726.737
2014/01/01,732.658
2014/01/02,738.94
2014/01/03,746.232
2014/01/04,758.026
2014/01/05,773.981
