Date,difficulty30std
2013/11/20,198908279
2013/11/21,195992929
2013/11/22,190325467
2013/11/23,181648478
2013/11/24,169500403
2013/11/25,168822724
2013/11/26,168404594
2013/11/27,166716879
2013/11/28,163720319
2013/11/29,161275820
2013/11/30,165138714
2013/12/01,166257015
2013/12/02,164686643
2013/12/03,160348623
2013/12/04,153007735
2013/12/05,145964172
2013/12/06,148518713
2013/12/07,149889731
2013/12/08,150109660
2013/12/09,149183589
2013/12/10,154077391
2013/12/11,178447859
2013/12/12,196324965
2013/12/13,209378610
2013/12/14,218475102
2013/12/15,224096844
2013/12/16,226502712
2013/12/17,229370250
2013/12/18,235493078
2013/12/19,239810952
2013/12/20,242420339
2013/12/21,262438069
2013/12/22,295822127
2013/12/23,321317764
2013/12/24,340700550
2013/12/25,354973251
2013/12/26,364736256
2013/12/27,370346391
2013/12/28,371991594
2013/12/29,372350817
2013/12/30,375952401
2013/12/31,376884929
2014/01/01,375168305
2014/01/02,395196578
2014/01/03,410615157
2014/01/04,420160487
2014/01/05,424229205
2014/01/06,422979382
2014/01/07,416363126
2014/01/08,404116943
2014/01/09,395204500
2014/01/10,396183270
2014/01/11,394236714
2014/01/12,389320955
2014/01/13,417931575
2014/01/14,446904732
2014/01/15,466774675
2014/01/16,478676377
2014/01/17,483198997
2014/01/18,480550920
2014/01/19,470611116
2014/01/20,473184993
2014/01/21,481203745
2014/01/22,485713292
2014/01/23,486811168
2014/01/24,499091503
2014/01/25,539745669
2014/01/26,569594856
2014/01/27,590280499
2014/01/28,602746787
2014/01/29,607499930
2014/01/30,604721833
2014/01/31,594306890
2014/02/01,600693612
2014/02/02,603523791
2014/02/03,601917917
2014/02/04,595840123
2014/02/05,612480384
2014/02/06,640786782
2014/02/07,658195066
2014/02/08,665560933
2014/02/09,663219068
2014/02/10,651064723
2014/02/11,628528902
2014/02/12,634379890
2014/02/13,639953644
2014/02/14,640696882
2014/02/15,636626521
2014/02/16,627648919
2014/02/17,672384163
2014/02/18,704125567
2014/02/19,723549344
2014/02/20,731637190
2014/02/21,728766622
2014/02/22,714805629
2014/02/23,709780267
2014/02/24,721671704
2014/02/25,728044724
2014/02/26,729044060
2014/02/27,724691944
2014/02/28,745872662
2014/03/01,810760411
2014/03/02,857296216
2014/03/03,888368787
2014/03/04,905571280
2014/03/05,909690896
2014/03/06,900907127
2014/03/07,911052193
2014/03/08,925819211
2014/03/09,933588359
2014/03/10,934534182
2014/03/11,928677528
2014/03/12,915887910
2014/03/13,934426472
2014/03/14,944344567
2014/03/15,941720750
2014/03/16,926448468
2014/03/17,897882530
2014/03/18,854691051
2014/03/19,860054672
2014/03/20,859431094
2014/03/21,852283116
2014/03/22,838443887
2014/03/23,817573684
