Date,confirmationtime3trx
2013/01/27,-2.092
2013/01/28,-1.407
2013/01/29,-1.652
2013/01/30,-1.325
2013/01/31,-3.451
2013/02/01,-1.403
2013/02/02,-0.115
2013/02/03,-1.836
2013/02/04,-1.455
2013/02/05,-1.029
2013/02/06,1.086
2013/02/07,1.477
2013/02/08,1.52
2013/02/09,2.031
2013/02/10,0.552
2013/02/11,-0.33
2013/02/12,1.083
2013/02/13,-0.645
2013/02/14,-0.339
2013/02/15,-1.879
2013/02/16,-3.276
2013/02/17,-3.583
2013/02/18,-1.32
2013/02/19,0.539
2013/02/20,-1.015
2013/02/21,-1.04
2013/02/22,-0.297
2013/02/23,0.681
2013/02/24,1.78
2013/02/25,-1.107
2013/02/26,-0.517
2013/02/27,-1.529
2013/02/28,-0.389
2013/03/01,1.891
2013/03/02,3.565
2013/03/03,2.348
2013/03/04,-0.133
2013/03/05,1.771
2013/03/06,1.505
2013/03/07,0.525
2013/03/08,-0.109
2013/03/09,-1.025
2013/03/10,-2.302
2013/03/11,-1.469
2013/03/12,2.12
2013/03/13,1.823
2013/03/14,-0.573
2013/03/15,-1.505
2013/03/16,-1.827
2013/03/17,-3.613
2013/03/18,-3.354
2013/03/19,-1.178
2013/03/20,-2.201
2013/03/21,-3.26
2013/03/22,-3.988
2013/03/23,-3.306
2013/03/24,-0.622
2013/03/25,5.34
2013/03/26,6.858
2013/03/27,8.301
2013/03/28,3.04
2013/03/29,0.142
2013/03/30,-1.001
2013/03/31,-0.97
2013/04/01,-2.487
2013/04/02,-2.192
2013/04/03,-1.122
2013/04/04,1.386
2013/04/05,2.253
2013/04/06,1.753
2013/04/07,1.046
2013/04/08,1.274
2013/04/09,-0.241
2013/04/10,-2.093
2013/04/11,-0.74
2013/04/12,-0.524
2013/04/13,-0.058
2013/04/14,1.375
2013/04/15,1.096
2013/04/16,-0.313
2013/04/17,-0.707
2013/04/18,1.3
2013/04/19,3.436
2013/04/20,2.362
2013/04/21,-0.401
2013/04/22,-0.265
2013/04/23,-0.949
2013/04/24,-0.851
2013/04/25,-1.313
2013/04/26,-1.396
2013/04/27,0.735
2013/04/28,-0.366
2013/04/29,-1.077
2013/04/30,0.729
2013/05/01,1.668
2013/05/02,3.489
2013/05/03,3.636
2013/05/04,1.114
2013/05/05,-0.973
2013/05/06,-1.938
2013/05/07,-2.209
2013/05/08,-1.789
2013/05/09,-1.191
2013/05/10,-1.288
2013/05/11,-1.929
2013/05/12,-1.153
2013/05/13,-0.858
2013/05/14,0.92
2013/05/15,3.128
2013/05/16,3.097
2013/05/17,1.325
2013/05/18,1.079
2013/05/19,0.415
2013/05/20,2.57
2013/05/21,1.463
2013/05/22,-0.032
2013/05/23,-2.051
2013/05/24,-2.61
2013/05/25,-2.133
2013/05/26,-1.343
2013/05/27,-1.643
2013/05/28,-0.425
2013/05/29,-0.329
2013/05/30,-1.139
2013/05/31,-1.265
2013/06/01,-3.242
2013/06/02,-3.463
2013/06/03,-3.695
2013/06/04,-3.413
2013/06/05,-1.004
2013/06/06,0.875
2013/06/07,3.283
2013/06/08,2.399
2013/06/09,3.048
2013/06/10,1.897
