Date,activeaddresses3ema
2013/12/25,133506
2013/12/26,128084
2013/12/27,127244
2013/12/28,121584
2013/12/29,125427
2013/12/30,139056
2013/12/31,129116
2014/01/01,113188
2014/01/02,125473
2014/01/03,134293
2014/01/04,125447
2014/01/05,130828
2014/01/06,154872
2014/01/07,148709
2014/01/08,148084
2014/01/09,141101
2014/01/10,134280
2014/01/11,132164
2014/01/12,124597
2014/01/13,138401
2014/01/14,134985
2014/01/15,133990
2014/01/16,133252
2014/01/17,131300
2014/01/18,118947
2014/01/19,113938
2014/01/20,146544
2014/01/21,153141
2014/01/22,153066
2014/01/23,151695
2014/01/24,147161
2014/01/25,137074
2014/01/26,131325
2014/01/27,150930
2014/01/28,154588
2014/01/29,147942
2014/01/30,149877
2014/01/31,149480
2014/02/01,142254
2014/02/02,138879
2014/02/03,155696
2014/02/04,162440
2014/02/05,159659
2014/02/06,161558
2014/02/07,163538
2014/02/08,155920
2014/02/09,142563
2014/02/10,157013
2014/02/11,155959
2014/02/12,185547
2014/02/13,174794
2014/02/14,176049
2014/02/15,163283
2014/02/16,145486
2014/02/17,162947
2014/02/18,160584
2014/02/19,169082
2014/02/20,175072
2014/02/21,176898
2014/02/22,166448
2014/02/23,164678
2014/02/24,189917
2014/02/25,199567
2014/02/26,200504
2014/02/27,192709
2014/02/28,194633
2014/03/01,188220
2014/03/02,173877
2014/03/03,205639
2014/03/04,219072
2014/03/05,210615
2014/03/06,203203
2014/03/07,192144
2014/03/08,181785
2014/03/09,177728
2014/03/10,192954
2014/03/11,191892
2014/03/12,197733
2014/03/13,195752
2014/03/14,194051
2014/03/15,170495
2014/03/16,155555
2014/03/17,172550
2014/03/18,157786
2014/03/19,161522
2014/03/20,164182
2014/03/21,177041
2014/03/22,173371
2014/03/23,161456
2014/03/24,177151
2014/03/25,172053
2014/03/26,170735
2014/03/27,176964
2014/03/28,180016
2014/03/29,162852
2014/03/30,164875
2014/03/31,167601
2014/04/01,173652
2014/04/02,176777
2014/04/03,172701
2014/04/04,175443
2014/04/05,164702
2014/04/06,174233
2014/04/07,166700
2014/04/08,166116
2014/04/09,172695
2014/04/10,177845
2014/04/11,173734
2014/04/12,153008
2014/04/13,162858
2014/04/14,173075
2014/04/15,186064
2014/04/16,185570
2014/04/17,171660
2014/04/18,160556
2014/04/19,150853
2014/04/20,157570
2014/04/21,149969
2014/04/22,166805
2014/04/23,161766
2014/04/24,165051
2014/04/25,173511
