Date,size
2013/09/14,89986
2013/09/15,139773
2013/09/16,161517
2013/09/17,165596
2013/09/18,164023
2013/09/19,136796
2013/09/20,131030
2013/09/21,124382
2013/09/22,112682
2013/09/23,138240
2013/09/24,131954
2013/09/25,117446
2013/09/26,160799
2013/09/27,123388
2013/09/28,113486
2013/09/29,114886
2013/09/30,133512
2013/10/01,139531
2013/10/02,161897
2013/10/03,145211
2013/10/04,130068
2013/10/05,96273
2013/10/06,112829
2013/10/07,145518
2013/10/08,127352
2013/10/09,132937
2013/10/10,137632
2013/10/11,127604
2013/10/12,107424
2013/10/13,118330
2013/10/14,113325
2013/10/15,100749
2013/10/16,117453
2013/10/17,133357
2013/10/18,143112
2013/10/19,129923
2013/10/20,121615
2013/10/21,139774
2013/10/22,134463
2013/10/23,134746
2013/10/24,158907
2013/10/25,127127
2013/10/26,126822
2013/10/27,116528
2013/10/28,135578
2013/10/29,145594
2013/10/30,124563
2013/10/31,135256
2013/11/01,106243
2013/11/02,105588
2013/11/03,103954
2013/11/04,120051
2013/11/05,156629
2013/11/06,185095
2013/11/07,219364
2013/11/08,229722
2013/11/09,199552
2013/11/10,174005
2013/11/11,150647
2013/11/12,141480
2013/11/13,185027
2013/11/14,183568
2013/11/15,175608
2013/11/16,117371
2013/11/17,140176
2013/11/18,255138
2013/11/19,312428
2013/11/20,233175
2013/11/21,273953
2013/11/22,226915
2013/11/23,209371
2013/11/24,183368
2013/11/25,190208
2013/11/26,251306
2013/11/27,264969
2013/11/28,248549
2013/11/29,249959
2013/11/30,200243
2013/12/01,188670
2013/12/02,230976
2013/12/03,185341
2013/12/04,232832
2013/12/05,238159
2013/12/06,168895
2013/12/07,164711
2013/12/08,120469
2013/12/09,172514
2013/12/10,191681
2013/12/11,195842
2013/12/12,170491
2013/12/13,177162
2013/12/14,167214
2013/12/15,171925
2013/12/16,179674
2013/12/17,168832
2013/12/18,203992
2013/12/19,148345
2013/12/20,183130
2013/12/21,173836
2013/12/22,162001
2013/12/23,168434
2013/12/24,167221
2013/12/25,176242
2013/12/26,166173
2013/12/27,146211
2013/12/28,177692
2013/12/29,174681
2013/12/30,175076
2013/12/31,144438
2014/01/01,105095
2014/01/02,212973
2014/01/03,196561
2014/01/04,184927
2014/01/05,166079
2014/01/06,203011
2014/01/07,176435
2014/01/08,157820
2014/01/09,141759
2014/01/10,146651
2014/01/11,140269
2014/01/12,126342
2014/01/13,166395
2014/01/14,174468
2014/01/15,162142
2014/01/16,159456
2014/01/17,189859
2014/01/18,144474
2014/01/19,142510
2014/01/20,184230
2014/01/21,219913
