Date,sentbyaddress3rsi
2013/07/30,77.389
2013/07/31,86.407
2013/08/01,89.306
2013/08/02,63.863
2013/08/03,26.124
2013/08/04,21.816
2013/08/05,62.719
2013/08/06,60.662
2013/08/07,64.278
2013/08/08,52.577
2013/08/09,29.405
2013/08/10,23.448
2013/08/11,11.373
2013/08/12,82.789
2013/08/13,45.764
2013/08/14,50.1
2013/08/15,48.537
2013/08/16,61.545
2013/08/17,32.584
2013/08/18,27.715
2013/08/19,65.618
2013/08/20,58.292
2013/08/21,59.495
2013/08/22,68.121
2013/08/23,38.472
2013/08/24,22.717
2013/08/25,17.877
2013/08/26,58.578
2013/08/27,71.068
2013/08/28,72.021
2013/08/29,44.85
2013/08/30,69.59
2013/08/31,51.69
2013/09/01,18.57
2013/09/02,31.176
2013/09/03,45.781
2013/09/04,57.275
2013/09/05,51.83
2013/09/06,46.616
2013/09/07,25.208
2013/09/08,15.429
2013/09/09,58.089
2013/09/10,53.027
2013/09/11,70.083
2013/09/12,72.699
2013/09/13,45.147
2013/09/14,19.372
2013/09/15,17.733
2013/09/16,64.581
2013/09/17,70.715
2013/09/18,75.929
2013/09/19,79.031
2013/09/20,54.798
2013/09/21,25.016
2013/09/22,17.519
2013/09/23,66.674
2013/09/24,67.697
2013/09/25,50.706
2013/09/26,63.454
2013/09/27,53.776
2013/09/28,25.188
2013/09/29,23
2013/09/30,68.601
2013/10/01,79.443
2013/10/02,83.295
2013/10/03,39.753
2013/10/04,31.845
2013/10/05,17.534
2013/10/06,16.252
2013/10/07,58.539
2013/10/08,65.08
2013/10/09,72.302
2013/10/10,74.12
2013/10/11,54.425
2013/10/12,23.094
2013/10/13,24.92
2013/10/14,69.355
2013/10/15,76.206
2013/10/16,82.47
2013/10/17,40.339
2013/10/18,57.076
2013/10/19,59.763
2013/10/20,21.687
2013/10/21,60.794
2013/10/22,68.351
2013/10/23,72.531
2013/10/24,85.404
2013/10/25,54.906
2013/10/26,24.174
2013/10/27,20.515
2013/10/28,53.81
2013/10/29,56.445
2013/10/30,68.958
2013/10/31,69.692
2013/11/01,46.34
2013/11/02,26.874
2013/11/03,32.461
2013/11/04,78.321
2013/11/05,87.943
2013/11/06,85.082
2013/11/07,92.24
2013/11/08,72.292
2013/11/09,55.124
2013/11/10,31.065
2013/11/11,22.053
2013/11/12,53.273
2013/11/13,65.205
2013/11/14,79.19
2013/11/15,50.949
2013/11/16,27.57
2013/11/17,35.656
2013/11/18,84.462
2013/11/19,90.144
2013/11/20,53.989
2013/11/21,45.825
2013/11/22,53.51
2013/11/23,46.051
2013/11/24,22.318
2013/11/25,49.467
2013/11/26,73.015
2013/11/27,80.756
2013/11/28,77.791
2013/11/29,54.266
2013/11/30,28.117
2013/12/01,31.388
2013/12/02,40.908
2013/12/03,57.528
2013/12/04,67.565
2013/12/05,76.494
2013/12/06,30.997
2013/12/07,21.147
2013/12/08,8.832
2013/12/09,50.706
2013/12/10,50.842
2013/12/11,51.077
2013/12/12,30.207
2013/12/13,47.711
2013/12/14,36.19
2013/12/15,26.954
2013/12/16,72.624
2013/12/17,70.281
2013/12/18,85.2
2013/12/19,47.722
2013/12/20,33.579
2013/12/21,23.735
2013/12/22,18.646
2013/12/23,38.746
2013/12/24,53.9
2013/12/25,58.397
2013/12/26,35.744
2013/12/27,42.929
2013/12/28,20.816
2013/12/29,16.946
2013/12/30,70.07
2013/12/31,43.632
