Date,transactions3wma
2013/08/17,61488
2013/08/18,58712
2013/08/19,63696
2013/08/20,64599
2013/08/21,63036
2013/08/22,63916
2013/08/23,59754
2013/08/24,55249
2013/08/25,48526
2013/08/26,51335
2013/08/27,57034
2013/08/28,62278
2013/08/29,61261
2013/08/30,61562
2013/08/31,54241
2013/09/01,49349
2013/09/02,48865
2013/09/03,50731
2013/09/04,52240
2013/09/05,56542
2013/09/06,59319
2013/09/07,56225
2013/09/08,50532
2013/09/09,52805
2013/09/10,53420
2013/09/11,51781
2013/09/12,51229
2013/09/13,47846
2013/09/14,45229
2013/09/15,48631
2013/09/16,50920
2013/09/17,60035
2013/09/18,61399
2013/09/19,61233
2013/09/20,59336
2013/09/21,55690
2013/09/22,52585
2013/09/23,58177
2013/09/24,61346
2013/09/25,58817
2013/09/26,57202
2013/09/27,51556
2013/09/28,46346
2013/09/29,42430
2013/09/30,44234
2013/10/01,50992
2013/10/02,57713
2013/10/03,59764
2013/10/04,55960
2013/10/05,49775
2013/10/06,45049
2013/10/07,43963
2013/10/08,44394
2013/10/09,47636
2013/10/10,52657
2013/10/11,53171
2013/10/12,51319
2013/10/13,50584
2013/10/14,53839
2013/10/15,55364
2013/10/16,53364
2013/10/17,49485
2013/10/18,53738
2013/10/19,55151
2013/10/20,52884
2013/10/21,55708
2013/10/22,60685
2013/10/23,59188
2013/10/24,60874
2013/10/25,58940
2013/10/26,53431
2013/10/27,47150
2013/10/28,47896
2013/10/29,49113
2013/10/30,49204
2013/10/31,53364
2013/11/01,49947
2013/11/02,44206
2013/11/03,38398
2013/11/04,41079
2013/11/05,46780
2013/11/06,52118
2013/11/07,57048
2013/11/08,58816
2013/11/09,57290
2013/11/10,56884
2013/11/11,56907
2013/11/12,57687
2013/11/13,61256
2013/11/14,65867
2013/11/15,64234
2013/11/16,55278
2013/11/17,51354
2013/11/18,64314
2013/11/19,81188
2013/11/20,82758
2013/11/21,77092
2013/11/22,75177
2013/11/23,73725
2013/11/24,67267
