Date,fee_to_reward3rocUSD
2013/04/15,38.181
2013/04/16,21.584
2013/04/17,35.935
2013/04/18,-35.682
2013/04/19,36.789
2013/04/20,-36.562
2013/04/21,-35.055
2013/04/22,-24.457
2013/04/23,21.081
2013/04/24,104.35
2013/04/25,15.677
2013/04/26,-34.513
2013/04/27,-30.805
2013/04/28,-46.963
2013/04/29,10.6
2013/04/30,15.462
2013/05/01,45.439
2013/05/02,48.345
2013/05/03,7.914
2013/05/04,6.052
2013/05/05,-43.064
2013/05/06,-3.787
2013/05/07,-3.172
2013/05/08,41.691
2013/05/09,25.472
2013/05/10,33.829
2013/05/11,7.376
2013/05/12,-15.956
2013/05/13,-9.856
2013/05/14,9.763
2013/05/15,26.874
2013/05/16,54.258
2013/05/17,-7.512
2013/05/18,-37.656
2013/05/19,-41.638
2013/05/20,-2.091
2013/05/21,15.793
2013/05/22,5.722
2013/05/23,-3.6
2013/05/24,-7.046
2013/05/25,-10.268
2013/05/26,-40.014
2013/05/27,-2.812
2013/05/28,20.684
2013/05/29,59.596
2013/05/30,-4.479
2013/05/31,-25.448
2013/06/01,-37.271
2013/06/02,-7.347
2013/06/03,7.345
2013/06/04,31.075
2013/06/05,32.657
2013/06/06,-17.42
2013/06/07,-4.447
2013/06/08,-21.839
2013/06/09,-0.514
2013/06/10,-18.329
2013/06/11,3.975
2013/06/12,-7.415
2013/06/13,10.87
2013/06/14,-23.616
2013/06/15,-8.84
2013/06/16,-22.896
2013/06/17,25.642
2013/06/18,40.675
2013/06/19,61.736
2013/06/20,77.119
2013/06/21,-5.049
2013/06/22,14.752
2013/06/23,-55.564
2013/06/24,2.063
2013/06/25,-31.597
2013/06/26,15.951
2013/06/27,-29.307
2013/06/28,31.818
2013/06/29,-37.42
2013/06/30,3.411
2013/07/01,-45.679
2013/07/02,60.477
2013/07/03,-19.344
2013/07/04,-7.885
2013/07/05,-24.681
2013/07/06,4.135
2013/07/07,-29.74
2013/07/08,-2.127
2013/07/09,17.561
2013/07/10,36.342
2013/07/11,18.558
2013/07/12,6.209
2013/07/13,57.49
2013/07/14,-34.075
2013/07/15,-31.606
2013/07/16,2.179
2013/07/17,36.977
2013/07/18,69.796
2013/07/19,-43.301
2013/07/20,-32.29
2013/07/21,-46.543
2013/07/22,60.238
2013/07/23,22.771
2013/07/24,80.486
2013/07/25,16.281
2013/07/26,-18.383
2013/07/27,-20.495
2013/07/28,-38.436
2013/07/29,37.588
2013/07/30,7.59
