Date,sentinusdUSD
2013/12/12,752278151
2013/12/13,762036593
2013/12/14,505199763
2013/12/15,356569570
2013/12/16,1578993482
2013/12/17,1034629795
2013/12/18,1059404840
2013/12/19,808010600
2013/12/20,589304268
2013/12/21,578144260
2013/12/22,562318442
2013/12/23,444992045
2013/12/24,562655040
2013/12/25,561917768
2013/12/26,421165963
2013/12/27,424879241
2013/12/28,424955789
2013/12/29,588767389
2013/12/30,568705097
2013/12/31,329432316
2014/01/01,387251447
2014/01/02,504052026
2014/01/03,677961042
2014/01/04,500339540
2014/01/05,783367396
2014/01/06,899233859
2014/01/07,789427609
2014/01/08,585249266
2014/01/09,426711939
2014/01/10,430900709
2014/01/11,331469539
2014/01/12,329301737
2014/01/13,390099924
2014/01/14,565115109
2014/01/15,465352051
2014/01/16,458012810
2014/01/17,296414366
2014/01/18,265698217
2014/01/19,436428852
2014/01/20,616697542
2014/01/21,478042078
2014/01/22,364491933
2014/01/23,393825181
2014/01/24,563879317
2014/01/25,348136038
2014/01/26,311021923
2014/01/27,727996351
2014/01/28,459864912
