Date,difficulty30ema
2013/04/07,5957025
2013/04/08,6067733
2013/04/09,6171299
2013/04/10,6268182
2013/04/11,6358816
2013/04/12,6443602
2013/04/13,6522918
2013/04/14,6597117
2013/04/15,6666529
2013/04/16,6731462
2013/04/17,6815773
2013/04/18,6955032
2013/04/19,7085307
2013/04/20,7207178
2013/04/21,7321185
2013/04/22,7427838
2013/04/23,7527609
2013/04/24,7620944
2013/04/25,7708257
2013/04/26,7789937
2013/04/27,7866347
2013/04/28,7937828
2013/04/29,8004697
2013/04/30,8124033
2013/05/01,8249985
2013/05/02,8367812
2013/05/03,8478036
2013/05/04,8581150
2013/05/05,8677610
2013/05/06,8767848
2013/05/07,8852264
2013/05/08,8931233
2013/05/09,9005108
2013/05/10,9074217
2013/05/11,9138867
2013/05/12,9213852
2013/05/13,9341168
2013/05/14,9460271
2013/05/15,9571689
2013/05/16,9675919
2013/05/17,9773425
2013/05/18,9864640
2013/05/19,9949970
2013/05/20,10029795
2013/05/21,10104470
2013/05/22,10174328
2013/05/23,10239678
2013/05/24,10300812
2013/05/25,10375002
2013/05/26,10489738
2013/05/27,10597072
2013/05/28,10697481
2013/05/29,10791412
2013/05/30,10879283
2013/05/31,10961485
2013/06/01,11038383
2013/06/02,11110320
2013/06/03,11177617
2013/06/04,11240571
2013/06/05,11384196
2013/06/06,11656547
2013/06/07,11911327
2013/06/08,12149669
2013/06/09,12372634
2013/06/10,12581215
2013/06/11,12776339
2013/06/12,12958874
2013/06/13,13129632
2013/06/14,13289374
2013/06/15,13438810
2013/06/16,13600740
2013/06/17,13970967
2013/06/18,14317308
2013/06/19,14641305
2013/06/20,14944399
2013/06/21,15227938
2013/06/22,15493185
2013/06/23,15741319
2013/06/24,15973444
2013/06/25,16190593
2013/06/26,16393733
2013/06/27,16583767
2013/06/28,16761540
2013/06/29,16981947
2013/06/30,17262810
2013/07/01,17525553
2013/07/02,17771345
2013/07/03,18001280
2013/07/04,18216380
2013/07/05,18417602
2013/07/06,18605843
2013/07/07,18781939
2013/07/08,18946674
2013/07/09,19100780
2013/07/10,19244945
2013/07/11,19687683
2013/07/12,20105437
2013/07/13,20496240
2013/07/14,20861829
2013/07/15,21203832
2013/07/16,21523771
2013/07/17,21823068
2013/07/18,22103055
2013/07/19,22364979
2013/07/20,22610005
2013/07/21,22839222
2013/07/22,23119382
2013/07/23,23644387
2013/07/24,24135521
2013/07/25,24594968
2013/07/26,25024774
2013/07/27,25426851
2013/07/28,25802987
2013/07/29,26154856
2013/07/30,26484024
2013/07/31,26791956
2013/08/01,27080020
2013/08/02,27349500
2013/08/03,27787881
2013/08/04,28407551
2013/08/05,28987242
2013/08/06,29529534
2013/08/07,30036839
2013/08/08,30511415
2013/08/09,30955373
2013/08/10,31370689
2013/08/11,31759210
2013/08/12,32122665
2013/08/13,32618773
2013/08/14,33792422
2013/08/15,34890352
2013/08/16,35917448
2013/08/17,36878280
2013/08/18,37777122
2013/08/19,38617975
2013/08/20,39404579
2013/08/21,40140435
2013/08/22,40828816
2013/08/23,41472785
2013/08/24,42417560
2013/08/25,43922882
2013/08/26,45331087
2013/08/27,46648441
2013/08/28,47880803
2013/08/29,49033658
2013/08/30,50112136
2013/08/31,51121034
2013/09/01,52064842
2013/09/02,52947760
2013/09/03,53773715
2013/09/04,55577652
2013/09/05,57600579
2013/09/06,59492994
2013/09/07,61263318
2013/09/08,62919428
2013/09/09,64468692
2013/09/10,65918003
2013/09/11,67273811
2013/09/12,68542147
2013/09/13,69728654
2013/09/14,70853822
2013/09/15,73548966
2013/09/16,76070229
2013/09/17,78428831
2013/09/18,80635264
2013/09/19,82699347
2013/09/20,84630263
2013/09/21,86436604
2013/09/22,88126407
2013/09/23,89707190
2013/09/24,91185988
2013/09/25,93419457
2013/09/26,96993634
2013/09/27,100337218
2013/09/28,103465088
2013/09/29,106391160
2013/09/30,109128453
2013/10/01,111689146
2013/10/02,114084634
2013/10/03,116325573
2013/10/04,118421936
2013/10/05,120383050
2013/10/06,123205380
2013/10/07,127468339
2013/10/08,131456269
2013/10/09,135186913
2013/10/10,138676870
2013/10/11,141941669
2013/10/12,144995835
2013/10/13,147852959
2013/10/14,150525752
2013/10/15,153026106
2013/10/16,157341461
2013/10/17,164463383
2013/10/18,171125826
2013/10/19,177358434
2013/10/20,183188938
2013/10/21,188643281
2013/10/22,193745730
2013/10/23,198518990
2013/10/24,202984297
2013/10/25,207161520
2013/10/26,217882011
2013/10/27,229046319
2013/10/28,239490350
2013/10/29,249260571
2013/10/30,258400456
2013/10/31,266950671
2013/11/01,274949259
2013/11/02,282431810
2013/11/03,289431615
2013/11/04,295979819
2013/11/05,303484880
2013/11/06,316868420
2013/11/07,329388505
2013/11/08,341100842
2013/11/09,352057545
2013/11/10,362307364
2013/11/11,371895904
2013/11/12,380865829
2013/11/13,389257049
2013/11/14,397106900
2013/11/15,404450309
2013/11/16,411319950
2013/11/17,419797437
2013/11/18,432035195
2013/11/19,443483420
2013/11/20,454193049
2013/11/21,464211735
2013/11/22,473584054
2013/11/23,482351707
2013/11/24,490553706
2013/11/25,498226543
2013/11/26,505404358
2013/11/27,512119088
2013/11/28,518400611
2013/11/29,525883707
2013/11/30,537594970
2013/12/01,548550668
2013/12/02,558799546
2013/12/03,568387207
2013/12/04,577356309
2013/12/05,585746759
2013/12/06,593595889
2013/12/07,600938624
2013/12/08,607807634
2013/12/09,614233483
2013/12/10,624633627
2013/12/11,642937965
2013/12/12,660061378
2013/12/13,676080054
2013/12/14,691065267
2013/12/15,705083693
2013/12/16,718197704
2013/12/17,730465650
2013/12/18,741942115
2013/12/19,752678163
2013/12/20,762721563
2013/12/21,782384202
2013/12/22,808096396
2013/12/23,832149737
2013/12/24,854651251
2013/12/25,875701054
2013/12/26,895392805
2013/12/27,913814120
2013/12/28,931046964
2013/12/29,947168011
2013/12/30,962248991
2013/12/31,976357004
2014/01/01,989554823
2014/01/02,1016426875
2014/01/03,1042365877
2014/01/04,1066631394
2014/01/05,1089331394
2014/01/06,1110566878
2014/01/07,1130432331
2014/01/08,1149016141
2014/01/09,1166400996
2014/01/10,1182664248
2014/01/11,1197878257
2014/01/12,1212110718
2014/01/13,1245539981
2014/01/14,1280637204
2014/01/15,1313470091
2014/01/16,1344184727
2014/01/17,1372917774
2014/01/18,1399797076
2014/01/19,1424942229
2014/01/20,1448465114
2014/01/21,1470470394
2014/01/22,1491055978
2014/01/23,1510313461
2014/01/24,1538127250
2014/01/25,1580431806
