Date,difficulty30wma
2013/08/14,35728788
2013/08/15,36879374
2013/08/16,37976955
2013/08/17,39021531
2013/08/18,40013102
2013/08/19,40951667
2013/08/20,41837227
2013/08/21,42669782
2013/08/22,43451522
2013/08/23,44191212
2013/08/24,45231204
2013/08/25,46839235
2013/08/26,48373087
2013/08/27,49832760
2013/08/28,51218255
2013/08/29,52529571
2013/08/30,53766708
2013/08/31,54929667
2013/09/01,56018446
2013/09/02,57033048
2013/09/03,57979680
2013/09/04,59896598
2013/09/05,62053530
2013/09/06,64103924
2013/09/07,66047779
2013/09/08,67885096
2013/09/09,69615876
2013/09/10,71240117
2013/09/11,72757819
2013/09/12,74168984
2013/09/13,75478814
2013/09/14,76726169
2013/09/15,79537902
2013/09/16,82216692
2013/09/17,84762540
2013/09/18,87175446
2013/09/19,89455409
2013/09/20,91602429
2013/09/21,93616508
2013/09/22,95497644
2013/09/23,97245837
2013/09/24,98872500
2013/09/25,101248427
2013/09/26,104980007
2013/09/27,108532943
2013/09/28,111907237
2013/09/29,115102886
2013/09/30,118119893
2013/10/01,120958256
2013/10/02,123617976
2013/10/03,126099053
2013/10/04,128401486
2013/10/05,130559652
2013/10/06,133572469
2013/10/07,138041987
2013/10/08,142291402
2013/10/09,146320713
2013/10/10,150129921
2013/10/11,153719025
2013/10/12,157088025
2013/10/13,160236921
2013/10/14,163165714
2013/10/15,165874910
2013/10/16,170395574
2013/10/17,177770494
2013/10/18,184811860
2013/10/19,191519672
2013/10/20,197893929
2013/10/21,203934633
2013/10/22,209641782
2013/10/23,215015377
2013/10/24,220055417
2013/10/25,224761904
2013/10/26,235975939
2013/10/27,247842619
2013/10/28,259188632
2013/10/29,270013980
2013/10/30,280318662
2013/10/31,290102679
2013/11/01,299366029
2013/11/02,308108714
2013/11/03,316330733
2013/11/04,324032086
2013/11/05,332592095
2013/11/06,346981060
2013/11/07,360678309
2013/11/08,373683840
2013/11/09,385997654
2013/11/10,397619751
2013/11/11,408550131
2013/11/12,418788794
2013/11/13,428335739
2013/11/14,437190967
2013/11/15,445354478
2013/11/16,452892149
2013/11/17,461957863
2013/11/18,474739405
2013/11/19,486785997
2013/11/20,498097641
2013/11/21,508674335
2013/11/22,518516080
2013/11/23,527622875
2013/11/24,535994721
2013/11/25,543631618
2013/11/26,550760658
2013/11/27,557419689
2013/11/28,563608712
2013/11/29,570934561
2013/11/30,582447787
2013/12/01,593280412
2013/12/02,603432436
2013/12/03,612903858
2013/12/04,621694680
2013/12/05,629804901
2013/12/06,637280498
2013/12/07,644333560
2013/12/08,650964088
2013/12/09,657172081
2013/12/10,667346407
2013/12/11,685527073
2013/12/12,702853071
2013/12/13,719324399
2013/12/14,734941058
2013/12/15,749703047
2013/12/16,763610368
2013/12/17,776663020
2013/12/18,788929371
2013/12/19,800552995
2013/12/20,811533891
2013/12/21,832139261
2013/12/22,859077774
2013/12/23,884787384
2013/12/24,909268089
2013/12/25,932519889
2013/12/26,954542786
2013/12/27,975336778
2013/12/28,994901865
2013/12/29,1013238049
2013/12/30,1030398889
2013/12/31,1046541417
2014/01/01,1061665634
2014/01/02,1090297245
2014/01/03,1118226984
2014/01/04,1144627533
2014/01/05,1169498893
2014/01/06,1192841064
2014/01/07,1214654044
2014/01/08,1234937836
2014/01/09,1253692438
2014/01/10,1271064146
2014/01/11,1287338799
2014/01/12,1302516397
2014/01/13,1336711966
2014/01/14,1372964666
2014/01/15,1407322322
2014/01/16,1439784932
2014/01/17,1470352496
2014/01/18,1499025016
2014/01/19,1525802490
2014/01/20,1550684918
2014/01/21,1574014542
2014/01/22,1596035297
2014/01/23,1616747184
2014/01/24,1645948927
