Date,activeaddresses90var
2013/07/19,168828026
2013/07/20,173106297
2013/07/21,173476846
2013/07/22,169588673
2013/07/23,159059526
2013/07/24,154828499
2013/07/25,152239940
2013/07/26,152124227
2013/07/27,129743895
2013/07/28,130694253
2013/07/29,130011514
2013/07/30,127589531
2013/07/31,127288042
2013/08/01,148030716
2013/08/02,148377471
2013/08/03,149089285
2013/08/04,146941600
2013/08/05,128867352
2013/08/06,115931282
2013/08/07,114417303
2013/08/08,111620948
2013/08/09,109778360
2013/08/10,110483844
2013/08/11,109754775
2013/08/12,121244582
2013/08/13,118520994
2013/08/14,116677373
2013/08/15,116083361
2013/08/16,118658361
2013/08/17,118939747
2013/08/18,119759342
2013/08/19,118558078
2013/08/20,119700441
2013/08/21,119493038
2013/08/22,119080199
2013/08/23,121410625
2013/08/24,121436547
2013/08/25,120944129
2013/08/26,120854675
2013/08/27,127456908
2013/08/28,129177327
2013/08/29,129074039
2013/08/30,134511154
2013/08/31,139108494
2013/09/01,138754752
2013/09/02,137629875
2013/09/03,136463435
2013/09/04,137081188
2013/09/05,136730478
2013/09/06,136170886
2013/09/07,135110707
2013/09/08,135990539
2013/09/09,136437031
2013/09/10,136368789
2013/09/11,136880353
2013/09/12,137122389
2013/09/13,134942623
2013/09/14,133004207
2013/09/15,133571165
2013/09/16,133384853
2013/09/17,133646797
2013/09/18,134972422
2013/09/19,136270959
2013/09/20,136024986
2013/09/21,133032634
2013/09/22,133159436
2013/09/23,134082508
2013/09/24,134894674
2013/09/25,135134194
2013/09/26,136006219
2013/09/27,136043460
2013/09/28,131975422
2013/09/29,131989221
2013/09/30,132874573
2013/10/01,137005514
2013/10/02,149803393
2013/10/03,152785589
2013/10/04,150903820
2013/10/05,145617151
2013/10/06,146021261
2013/10/07,146173292
2013/10/08,145909135
2013/10/09,146557022
2013/10/10,146927685
2013/10/11,146779219
2013/10/12,140850388
2013/10/13,142366547
2013/10/14,143025651
2013/10/15,143805570
2013/10/16,147275304
2013/10/17,145649950
2013/10/18,142339801
2013/10/19,140294325
2013/10/20,138110646
2013/10/21,142212451
2013/10/22,154523348
2013/10/23,165354834
2013/10/24,177924408
2013/10/25,177959077
2013/10/26,169479896
2013/10/27,169998578
2013/10/28,170391094
2013/10/29,170987418
2013/10/30,159602007
2013/10/31,163844464
2013/11/01,161635042
2013/11/02,158231211
2013/11/03,158308337
2013/11/04,163423893
2013/11/05,180407834
2013/11/06,210311952
2013/11/07,236340374
2013/11/08,259326019
2013/11/09,277174754
2013/11/10,285763951
2013/11/11,298110124
2013/11/12,310593218
2013/11/13,327707887
2013/11/14,355268198
2013/11/15,363703253
2013/11/16,359487916
2013/11/17,364616075
2013/11/18,433258973
2013/11/19,594980380
2013/11/20,661219369
2013/11/21,770760124
2013/11/22,825818066
2013/11/23,859380659
2013/11/24,868171435
2013/11/25,896275064
2013/11/26,977514907
2013/11/27,1094666704
2013/11/28,1219130426
2013/11/29,1313162263
2013/11/30,1341966885
2013/12/01,1376540016
2013/12/02,1433940911
2013/12/03,1485177398
2013/12/04,1546832587
2013/12/05,1606959621
2013/12/06,1632059909
2013/12/07,1626043266
2013/12/08,1614291847
2013/12/09,1624664837
2013/12/10,1634748354
2013/12/11,1643487701
2013/12/12,1626531852
2013/12/13,1603211818
2013/12/14,1580369841
2013/12/15,1567903204
2013/12/16,1593460678
2013/12/17,1599787816
2013/12/18,1631066506
2013/12/19,1631084039
2013/12/20,1614841630
2013/12/21,1581243593
2013/12/22,1564336365
