Date,mediantransactionvalue90emaUSD
2012/12/29,17.166
2012/12/30,16.988
2012/12/31,16.917
2013/01/01,16.865
2013/01/02,16.813
2013/01/03,16.877
2013/01/04,16.756
2013/01/05,16.695
2013/01/06,16.715
2013/01/07,16.7
2013/01/08,16.74
2013/01/09,16.822
2013/01/10,16.737
2013/01/11,16.668
2013/01/12,16.607
2013/01/13,16.455
2013/01/14,16.32
2013/01/15,16.302
2013/01/16,16.266
2013/01/17,16.268
2013/01/18,16.347
2013/01/19,16.281
2013/01/20,16.356
2013/01/21,16.47
2013/01/22,16.839
2013/01/23,17.115
2013/01/24,17.303
2013/01/25,17.409
2013/01/26,17.439
2013/01/27,17.435
2013/01/28,17.572
2013/01/29,17.738
2013/01/30,18.099
2013/01/31,18.134
2013/02/01,18.09
2013/02/02,18.132
2013/02/03,18.084
2013/02/04,18.13
2013/02/05,18.409
2013/02/06,18.737
2013/02/07,18.7
2013/02/08,18.761
2013/02/09,18.85
2013/02/10,18.844
2013/02/11,18.897
2013/02/12,18.987
2013/02/13,18.962
2013/02/14,19.101
2013/02/15,19.144
2013/02/16,19.113
2013/02/17,19.096
2013/02/18,19.142
2013/02/19,19.138
2013/02/20,19.123
2013/02/21,19.115
2013/02/22,19.096
2013/02/23,19.084
2013/02/24,18.993
2013/02/25,18.891
2013/02/26,18.886
2013/02/27,18.865
2013/02/28,18.877
2013/03/01,18.903
2013/03/02,18.849
2013/03/03,18.755
2013/03/04,18.753
2013/03/05,18.97
2013/03/06,19.143
2013/03/07,19.285
2013/03/08,19.468
2013/03/09,19.602
2013/03/10,19.649
2013/03/11,19.787
2013/03/12,20.093
2013/03/13,20.328
2013/03/14,20.508
2013/03/15,20.633
2013/03/16,21.134
2013/03/17,21.541
2013/03/18,22.287
2013/03/19,23.141
2013/03/20,23.901
2013/03/21,24.464
2013/03/22,25.091
2013/03/23,25.454
2013/03/24,25.773
2013/03/25,26.264
2013/03/26,27.182
2013/03/27,27.964
2013/03/28,28.666
2013/03/29,29.457
2013/03/30,29.832
2013/03/31,30.299
2013/04/01,31.061
2013/04/02,32.466
2013/04/03,34.005
2013/04/04,35.968
2013/04/05,37.929
2013/04/06,39.077
2013/04/07,39.631
2013/04/08,41.631
2013/04/09,44.961
2013/04/10,51.427
2013/04/11,52.826
2013/04/12,53.832
2013/04/13,54.205
2013/04/14,54.081
2013/04/15,54.414
2013/04/16,54.423
2013/04/17,54.773
2013/04/18,55.59
2013/04/19,56.386
2013/04/20,56.532
2013/04/21,56.907
2013/04/22,57.534
2013/04/23,57.856
2013/04/24,58.294
2013/04/25,59.019
2013/04/26,59.728
2013/04/27,60.302
2013/04/28,60.572
2013/04/29,61.246
2013/04/30,61.563
2013/05/01,62.146
2013/05/02,62.344
2013/05/03,62.539
2013/05/04,62.185
2013/05/05,62.124
2013/05/06,62.172
2013/05/07,62.344
2013/05/08,62.645
2013/05/09,62.587
2013/05/10,62.529
2013/05/11,62.171
2013/05/12,61.968
2013/05/13,62.069
2013/05/14,61.955
2013/05/15,61.952
2013/05/16,62.07
2013/05/17,62.206
2013/05/18,62.598
2013/05/19,62.476
2013/05/20,62.769
2013/05/21,63.341
2013/05/22,63.972
2013/05/23,64.545
2013/05/24,65.319
2013/05/25,65.541
2013/05/26,65.954
2013/05/27,66.115
2013/05/28,66.649
2013/05/29,67.379
2013/05/30,67.911
2013/05/31,68.725
2013/06/01,68.81
2013/06/02,69.016
2013/06/03,69.42
2013/06/04,70.033
2013/06/05,70.297
2013/06/06,70.483
2013/06/07,71.104
2013/06/08,71.255
2013/06/09,71.265
2013/06/10,71.46
2013/06/11,71.69
2013/06/12,72.046
2013/06/13,72.81
2013/06/14,73.337
2013/06/15,73.728
2013/06/16,73.354
2013/06/17,73.185
2013/06/18,73.391
2013/06/19,73.433
2013/06/20,73.242
2013/06/21,73.775
2013/06/22,73.759
2013/06/23,73.578
2013/06/24,73.72
2013/06/25,73.799
2013/06/26,74.021
2013/06/27,74.175
2013/06/28,74.284
2013/06/29,74.316
2013/06/30,74.097
2013/07/01,74.779
2013/07/02,75.313
2013/07/03,76.493
2013/07/04,76.675
2013/07/05,76.613
2013/07/06,76.093
2013/07/07,75.66
2013/07/08,75.627
2013/07/09,76.008
2013/07/10,76.729
2013/07/11,78.281
2013/07/12,78.79
2013/07/13,79.034
2013/07/14,78.597
2013/07/15,78.617
2013/07/16,79.137
2013/07/17,79.37
2013/07/18,79.795
2013/07/19,79.883
2013/07/20,79.245
2013/07/21,78.893
2013/07/22,78.896
2013/07/23,79.083
2013/07/24,79.254
2013/07/25,79.401
2013/07/26,79.663
2013/07/27,79.112
2013/07/28,78.5
2013/07/29,78.78
2013/07/30,79.169
2013/07/31,79.214
2013/08/01,79.13
2013/08/02,79.001
2013/08/03,78.336
2013/08/04,77.583
2013/08/05,77.555
2013/08/06,76.99
2013/08/07,76.372
2013/08/08,75.519
2013/08/09,74.987
2013/08/10,74.364
2013/08/11,73.793
2013/08/12,73.371
2013/08/13,73.117
2013/08/14,73.279
2013/08/15,72.804
2013/08/16,71.799
2013/08/17,70.647
2013/08/18,69.656
2013/08/19,68.722
2013/08/20,68.06
2013/08/21,67.772
2013/08/22,67.257
2013/08/23,66.886
2013/08/24,66.197
2013/08/25,65.696
2013/08/26,65.445
2013/08/27,65.62
2013/08/28,65.242
2013/08/29,64.681
2013/08/30,64.611
2013/08/31,64.756
2013/09/01,64.26
2013/09/02,63.989
2013/09/03,64.003
2013/09/04,64.134
2013/09/05,63.395
2013/09/06,62.867
2013/09/07,62.092
2013/09/08,61.228
2013/09/09,60.4
2013/09/10,59.864
2013/09/11,60.07
2013/09/12,60.202
2013/09/13,60.946
2013/09/14,60.565
2013/09/15,59.641
2013/09/16,59.445
2013/09/17,58.765
2013/09/18,58.327
2013/09/19,58.129
2013/09/20,58.181
2013/09/21,57.794
2013/09/22,57.24
2013/09/23,57.126
2013/09/24,57.223
2013/09/25,57.497
2013/09/26,57.558
2013/09/27,58.504
2013/09/28,59.085
2013/09/29,59.568
2013/09/30,60.962
2013/10/01,61.554
2013/10/02,62.194
2013/10/03,62.198
2013/10/04,62.225
2013/10/05,61.896
2013/10/06,61.482
2013/10/07,61.718
2013/10/08,61.635
2013/10/09,61.705
2013/10/10,61.512
2013/10/11,61.496
2013/10/12,61.034
2013/10/13,60.707
2013/10/14,60.517
2013/10/15,60.87
2013/10/16,61.804
2013/10/17,62.121
2013/10/18,62.016
2013/10/19,62.579
2013/10/20,62.512
2013/10/21,62.985
2013/10/22,64.123
2013/10/23,65.679
2013/10/24,66.42
2013/10/25,66.54
2013/10/26,66.161
2013/10/27,65.883
2013/10/28,66.115
2013/10/29,66.614
2013/10/30,67.796
2013/10/31,67.62
2013/11/01,69.477
2013/11/02,70.207
2013/11/03,71.307
2013/11/04,74.075
2013/11/05,77.532
2013/11/06,80.604
2013/11/07,84.874
2013/11/08,89.796
2013/11/09,95.408
2013/11/10,96.104
2013/11/11,96.198
2013/11/12,97.842
2013/11/13,99.392
2013/11/14,101.613
2013/11/15,104.008
2013/11/16,108.123
2013/11/17,111.158
2013/11/18,120.731
2013/11/19,131.306
2013/11/20,137.419
2013/11/21,142.298
2013/11/22,147.461
2013/11/23,152.464
2013/11/24,154.052
2013/11/25,155.49
2013/11/26,161.701
2013/11/27,173.212
2013/11/28,185.302
2013/11/29,196.107
2013/11/30,203.688
2013/12/01,210.487
2013/12/02,216.508
2013/12/03,221.112
2013/12/04,226.57
2013/12/05,235.379
2013/12/06,240.272
2013/12/07,246.399
2013/12/08,247.662
2013/12/09,249.211
2013/12/10,250.725
2013/12/11,251.592
2013/12/12,251.869
2013/12/13,252.502
2013/12/14,252.922
2013/12/15,252.341
2013/12/16,253.615
2013/12/17,254.602
2013/12/18,256.636
2013/12/19,257.006
2013/12/20,256.845
2013/12/21,254.733
2013/12/22,252.275
2013/12/23,250.035
2013/12/24,248.433
2013/12/25,248.562
2013/12/26,248.039
2013/12/27,246.875
2013/12/28,244.764
2013/12/29,242.25
2013/12/30,241.339
2013/12/31,240.026
2014/01/01,238.188
2014/01/02,238.058
2014/01/03,238.815
2014/01/04,238.661
2014/01/05,239.325
2014/01/06,240.676
2014/01/07,240.696
2014/01/08,240.076
2014/01/09,239.524
2014/01/10,238.851
2014/01/11,238.167
2014/01/12,236.784
2014/01/13,236.119
2014/01/14,235.684
