Date,top100cap30ema
2013/07/30,20.436
2013/07/31,20.456
2013/08/01,20.47
2013/08/02,20.483
2013/08/03,20.49
2013/08/04,20.497
2013/08/05,20.499
2013/08/06,20.503
2013/08/07,20.508
2013/08/08,20.516
2013/08/09,20.52
2013/08/10,20.52
2013/08/11,20.527
2013/08/12,20.549
2013/08/13,20.575
2013/08/14,20.595
2013/08/15,20.608
2013/08/16,20.614
2013/08/17,20.611
2013/08/18,20.608
2013/08/19,20.605
2013/08/20,20.595
2013/08/21,20.581
2013/08/22,20.569
2013/08/23,20.548
2013/08/24,20.528
2013/08/25,20.51
2013/08/26,20.491
2013/08/27,20.47
2013/08/28,20.452
2013/08/29,20.424
2013/08/30,20.399
2013/08/31,20.373
2013/09/01,20.345
2013/09/02,20.316
2013/09/03,20.289
2013/09/04,20.268
2013/09/05,20.24
2013/09/06,20.213
2013/09/07,20.187
2013/09/08,20.162
2013/09/09,20.13
2013/09/10,20.1
2013/09/11,20.068
2013/09/12,20.037
2013/09/13,20.006
2013/09/14,19.975
2013/09/15,19.946
2013/09/16,19.914
2013/09/17,19.884
2013/09/18,19.854
2013/09/19,19.835
2013/09/20,19.816
2013/09/21,19.799
2013/09/22,19.772
2013/09/23,19.75
2013/09/24,19.726
2013/09/25,19.702
2013/09/26,19.681
2013/09/27,19.664
2013/09/28,19.647
2013/09/29,19.635
2013/09/30,19.623
2013/10/01,19.614
2013/10/02,19.618
2013/10/03,19.635
2013/10/04,19.648
2013/10/05,19.662
2013/10/06,19.673
2013/10/07,19.682
2013/10/08,19.691
2013/10/09,19.696
2013/10/10,19.701
2013/10/11,19.711
2013/10/12,19.722
2013/10/13,19.733
2013/10/14,19.741
2013/10/15,19.747
2013/10/16,19.75
2013/10/17,19.751
2013/10/18,19.759
2013/10/19,19.768
2013/10/20,19.775
2013/10/21,19.775
2013/10/22,19.77
2013/10/23,19.765
2013/10/24,19.757
2013/10/25,19.818
2013/10/26,19.877
2013/10/27,19.933
2013/10/28,19.984
2013/10/29,20.031
2013/10/30,20.078
2013/10/31,20.123
2013/11/01,20.167
2013/11/02,20.207
2013/11/03,20.247
2013/11/04,20.316
2013/11/05,20.384
2013/11/06,20.452
2013/11/07,20.517
2013/11/08,20.577
2013/11/09,20.633
2013/11/10,20.686
2013/11/11,20.734
2013/11/12,20.778
2013/11/13,20.815
2013/11/14,20.85
2013/11/15,20.881
2013/11/16,20.911
2013/11/17,20.941
2013/11/18,20.969
2013/11/19,20.999
2013/11/20,21.026
2013/11/21,21.047
2013/11/22,21.113
2013/11/23,21.155
2013/11/24,21.194
2013/11/25,21.227
2013/11/26,21.253
2013/11/27,21.272
2013/11/28,21.295
2013/11/29,21.306
2013/11/30,21.311
2013/12/01,21.316
2013/12/02,21.319
2013/12/03,21.322
2013/12/04,21.324
2013/12/05,21.323
2013/12/06,21.33
2013/12/07,21.338
2013/12/08,21.342
2013/12/09,21.347
2013/12/10,21.366
2013/12/11,21.396
2013/12/12,21.426
2013/12/13,21.458
2013/12/14,21.484
2013/12/15,21.506
2013/12/16,21.527
2013/12/17,21.547
2013/12/18,21.565
2013/12/19,21.582
2013/12/20,21.597
2013/12/21,21.605
2013/12/22,21.61
2013/12/23,21.614
2013/12/24,21.62
2013/12/25,21.601
2013/12/26,21.582
2013/12/27,21.564
2013/12/28,21.548
2013/12/29,21.53
2013/12/30,21.518
2013/12/31,21.504
2014/01/01,21.475
2014/01/02,21.449
2014/01/03,21.426
